RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
40.58209999568,61.30046311835,465620501239598464,0.9339,0.0764,2.465,-1.724,1.762,31,1.387,,0.944,17.292261,18.116209,16.410831,1.705378,,42.88307968614,40.58211595094,61.30045528515,0.965124,0.5312968073182509,1,1.7053779999999996,0.0,0.7540653347969055,0.26312965154647827,0.641706645488739,0.7400000095367432,0.7540653347969055,0.7540653347969055,0.7540653347969055,0.1574455052614212
40.65481178639,61.34451304967,465621050995366528,0.9779,0.4969,1.598,-0.753,1.409,95,,1.4288,1.066,20.0277,20.431705,19.168825,1.26288,,42.90883319972,40.65481876634,61.34450678617,1.003614,0.45282261395870793,1,1.2628800000000027,0.0,0.8146079778671265,0.31763431429862976,0.15234322845935822,0.0,0.0,0.0,2.802596928649634e-45,0.8129858374595642
40.65700285679,61.36876394169,465621149774787840,0.9705,0.136,2.652,-1.619,2.1,31,1.338,,1.006,18.314913,19.330532,17.374065,1.956467,,42.93049656939,40.65701787391,61.36875460701,0.994848,0.4123670079265947,1,1.956467,0.843625545501709,0.843625545501709,1.1102230246251565e-16,0.843625545501709,0.8399999737739563,0.843625545501709,0.843625545501709,0.843625545501709,0.0
41.01812238912,61.31116872912,465622253583048064,1.0119,0.6141,1.341,-0.821,1.061,95,,1.4396,1.111,20.38464,20.950722,19.591545,1.359177,,42.80686381011,41.01812998594,61.31116401499,1.046757,0.5760915219677297,1,1.359176999999999,0.0,0.7175723910331726,0.3495766818523407,0.27801692485809326,0.0,2.802596928649634e-45,2.802596928649634e-45,0.7175723910331726,0.6125590801239014
40.82925456779,61.27158182618,465622558523828096,0.9092,0.0229,2.522,-1.697,1.865,31,1.462,,1.051,14.886359,15.440454,14.167191,1.273263,,42.80791837839,40.82927026071,61.27157353774,0.942492,0.586706315047052,1,1.273263,0.0,0.7087699174880981,0.31014272570610046,0.22609348595142365,0.0,0.008394608274102211,4.0609674556435493e-07,0.7087699174880981,0.7238225936889648
40.89106569564,61.30798746887,465622734622550784,0.8879,0.0354,2.53,-1.591,1.967,31,1.437,,0.925,15.99774,16.63229,15.221448,1.410842,,42.82894294869,40.89108042608,61.30797872712,0.91883,0.5409102186517437,1,1.4108420000000006,0.0,0.7463326454162598,0.11798173934221268,0.020218923687934875,0.0,4.644943351933724e-14,2.802596928649634e-45,1.0083712140840362e-06,0.9743941426277161
40.93923279234,61.35397787458,465623250018590080,0.8792,0.013,2.716,-1.721,2.102,31,1.582,,1.019,13.026036,13.295957,12.595498,0.700458,,42.86141683649,40.93924874717,61.35396853401,0.909319,0.48398537901986044,1,0.7004590000000004,2.802596928649634e-45,0.7911704778671265,0.33164486289024353,0.5322493314743042,0.7799999713897705,0.7911704778671265,0.16022427380084991,0.7911704778671265,0.42264899611473083
41.20643598688,61.38577095357,465624109012010368,0.9041,0.0199,2.651,-1.752,1.989,31,1.482,,0.989,14.575735,15.076125,13.905071,1.171054,-47.29,42.8380604852,41.20645225013,61.38576211318,0.937363,0.5696486993903743,1,1.1710539999999998,7.79055733947664e-26,0.7228889465332031,0.26719585061073303,0.31836408376693726,0.7200000286102295,0.2601386606693268,0.05281688645482063,0.5598928332328796,0.800487756729126
41.05909189414,61.37858433094,465624658767837824,0.9233,0.0337,1.836,-1.811,0.302,31,1.457,,0.983,15.898255,16.466692,15.17275,1.293942,,42.86034086194,41.05910869643,61.37858298683,0.956127,0.49891936967549205,1,1.2939419999999977,2.802596928649634e-45,0.7796419262886047,0.3412027359008789,0.5783443450927734,0.7599999904632568,0.7796419262886047,2.802596928649634e-45,0.7796419262886047,0.25819236040115356
41.04090843716,61.39075568622,465624723187631104,0.9121,0.0226,2.677,-1.779,2.0,31,1.475,,0.999,15.030902,15.546245,14.341561,1.204683,,42.87501037297,41.04092495397,61.39074679911,0.945159,0.4739887467748367,1,1.2046840000000003,8.379674447874132e-17,0.7987834811210632,0.26699376106262207,0.2925888001918793,0.0,0.226175457239151,0.04671603441238403,0.4912644028663635,0.8847736716270447
