Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,pmRA,pmDE,Plx,SimbadName,_RA_icrs,_DE_icrs,Source,RV,Gmag,BP-RP,Proba
NGC_1027,41.57027455189,61.1734087456,136.32829292462,1.32480718142,-1.47,2.096,0.7914,Gaia DR2  464949661706849280,41.57028767958,61.1733997213,464949661706849280,,16.2073,1.3947,0.9
NGC_1027,41.77163483771,61.19755046768,136.40562197006,1.38825193649,-1.212,1.874,0.9171,,41.7716456668,61.19754240009,464949043231528064,,17.0693,1.5686,0.1
NGC_1027,41.65450039682,61.223745354,136.34341030816,1.38767159905,-1.608,2.285,0.9511,Gaia DR2  464950211462625792,41.65451477752,61.22373551392,464950211462625792,,16.5363,1.4369,1.0
NGC_1027,42.00647046214,61.49434426384,136.37894376653,1.70456770818,-2.197,1.9,0.8709,Gaia DR2  464960858681114112,42.00649028305,61.49433608247,464960858681114112,,15.2663,1.2747,0.6
NGC_1027,41.19842167946,61.01353706884,136.23353582688,1.10369008966,-2.151,2.891,0.7366,,41.19844079449,61.01352462134,465597956950392960,,17.7557,1.7619,0.2
NGC_1027,41.07503148028,61.14560974179,136.12371230897,1.198281017,-1.588,1.61,0.8645,,41.07504565129,61.14560281146,465608372252025984,,16.1076,1.3322,0.4
NGC_1027,41.22303556433,61.32441497139,136.11284517337,1.39044198193,-1.94,2.067,0.9421,Gaia DR2  465611945664660736,41.22305297236,61.32440606975,465611945664660736,,16.5048,1.3985,0.9
NGC_1027,40.3861286768,61.16180402429,135.81468997212,1.07469602325,-1.62,1.262,0.7137,,40.38614313641,61.16179859249,465594662715305984,,16.1045,1.6594,0.1
NGC_1027,40.43380783648,61.16348976608,135.83495679033,1.08570050448,-1.345,2.505,0.7979,Gaia DR2  465617954318554112,40.43381984006,61.1634789796,465617954318554112,,17.4744,1.8212,0.8
NGC_1027,41.23669927038,61.27621652905,136.139187003,1.34954395438,-1.574,2.314,0.8491,Gaia DR2  465610704414118144,41.23671337481,61.2762065667,465610704414118144,,17.1227,1.7638,1.0
NGC_1027,40.71300113651,60.99843795286,136.02621243071,0.99134452608,-1.592,1.313,0.8049,,40.71301527113,60.99843230136,465600641311012224,,16.0457,1.5009,0.1
NGC_1027,40.73682297756,61.13838108238,135.9784606086,1.12339537363,-1.94,2.579,0.7761,Gaia DR2  465614213401641856,40.73684027927,61.13836997779,465614213401641856,,17.8193,,0.7
NGC_1027,41.05149738689,61.20704994235,136.08756224877,1.24924573665,-1.165,1.401,0.8396,,41.05150780029,61.20704390978,465609540483084288,,17.0039,,0.1
NGC_1027,40.65691789579,61.29149576333,135.87979801714,1.24666086896,-1.844,1.894,0.8123,Gaia DR2  465620638678551424,40.65693442205,61.29148761062,465620638678551424,,17.9701,1.8582,0.8
NGC_1027,40.58210047807,61.30046283974,135.84337210249,1.23992176068,-1.657,1.972,0.9742,Gaia DR2  465620501239598464,40.58211533502,61.3004543488,465620501239598464,,17.3136,1.6955,0.9
NGC_1027,41.31032664214,61.28469736024,136.1676508788,1.37221346332,-2.339,1.599,0.7207,,41.31034760519,61.28469047589,465611151090743040,,17.6966,1.3882,0.1
NGC_1027,40.76140121445,61.24120670872,135.94640643161,1.22181468731,-1.498,2.158,0.8209,Gaia DR2  465616579929259904,40.76141462274,61.24119741676,465616579929259904,,17.0039,1.6931,0.9
NGC_1027,40.2913150439,60.97627312697,135.84907791863,0.88669800251,-1.224,1.556,0.9041,,40.29132591023,60.97626642738,465590844483435648,,12.7281,0.8874,0.2
NGC_1027,40.9330264765,61.27450017264,136.00749518662,1.28654079892,-1.956,2.176,0.7801,Gaia DR2  465622459744667008,40.93304399496,61.27449080529,465622459744667008,,17.4882,1.4228,0.6
NGC_1027,40.88395416087,60.97797366642,136.11011572484,1.00732273684,-1.424,2.308,0.8653,Gaia DR2  465599812376152448,40.88396679791,60.97796372742,465599812376152448,,16.1814,1.5207,0.7
NGC_1027,40.84226771175,61.2759236952,135.96727053,1.26958736205,-1.833,1.638,0.923,Gaia DR2  465622562823892224,40.84228413724,61.27591664423,465622562823892224,,16.1707,1.4951,1.0
NGC_1027,40.56685238297,61.11225710653,135.91461720259,1.06556141309,-1.838,2.112,0.728,Gaia DR2  465613869810235776,40.56686876073,61.11224801398,465613869810235776,,17.2973,1.6649,0.7
NGC_1027,41.27813548904,61.24207923917,136.17169978953,1.32705311913,-1.774,2.153,0.9469,Gaia DR2  465610433836225024,41.27815136178,61.24206997134,465610433836225024,,16.3648,1.3898,1.0
