RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
41.77382584609,60.54037372501,464776037646911104,0.8545,0.1063,2.811,-1.799,2.16,31,1.362,,0.988,17.921892,18.85336,16.956484,1.896875,,41.95342583562,41.77384209986,60.54036412344,0.882463
41.61197697037,60.97393258704,464850499494348160,0.9201,0.0283,2.533,-1.594,1.968,31,1.427,,0.995,15.476273,16.141022,14.678472,1.462549,,42.38233130111,41.61199156854,60.97392383964,0.953797
41.38713464526,61.06923305735,464853660598221568,0.8285,0.0914,2.552,-1.825,1.784,31,1.386,,1.369,17.16206,17.907494,16.24749,1.660004,,42.51349946731,41.38715141288,61.06922512668,0.859669
42.25107030194,61.27600646911,464941655887679104,0.8647,0.0477,2.355,-1.681,1.65,31,1.428,,1.07,16.552422,17.20667,15.765858,1.440813,,42.53525118245,42.25108584497,61.27599913602,0.893889
42.12950934611,61.20253739525,464952681062317696,0.8452,0.0953,2.652,-1.683,2.05,31,1.381,,0.99,17.742489,18.59116,16.850595,1.740564,,42.49129568468,42.12952487504,61.20252828463,0.874296
42.10639534029,61.29670030162,464954334632868864,0.9305,0.0886,2.454,-1.412,2.007,95,,1.4084,1.017,17.682974,18.510344,16.79383,1.716513,,42.58203148603,42.10640840911,61.2966913808,0.961502
42.51944698578,61.46197253904,464968044167564416,0.9342,0.0685,2.459,-1.458,1.98,31,1.413,,0.999,17.068583,17.775267,16.251856,1.523411,,42.65443927997,42.51946054798,61.46196373803,0.964224
43.08764874935,61.53217914445,464972888890793728,0.9334,0.0645,2.595,-1.653,2.0,31,1.388,,1.149,16.749838,17.531164,15.862541,1.668623,,42.61132604363,43.08766416237,61.53217025533,0.964101
42.36957431951,61.51192660714,464980825990216448,0.9079,0.0809,2.482,-1.63,1.871,31,1.418,,1.027,17.307936,18.019466,16.504807,1.51466,,42.72880808748,42.36958951155,61.51191829062,0.937976
39.96116890335,60.69154617593,465206122792910592,0.8992,0.097,2.449,-1.785,1.676,31,1.353,,1.019,17.667414,18.593813,16.73133,1.862482,,42.45272135396,39.96118511441,60.69153872575,0.930645
39.52617509315,60.58330517154,465245395975703936,0.8741,0.0514,3.004,-2.137,2.112,31,1.384,,0.995,16.72384,17.558813,15.83601,1.722803,,42.44262569293,39.5261944277,60.58329578697,0.904984
39.16372782062,60.98374524132,465274567393375872,0.8501,0.1089,2.784,-2.009,1.927,31,1.35,,0.956,17.952665,18.948095,16.993057,1.955038,,42.88035043137,39.16374622593,60.98373667623,0.878323
