Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb
NGC_1027,464951723292819968,41.77213490611,61.27411636548,0.6217,-1.782,2.18,20.26727,21.371332,19.017168,0.14
NGC_1027,464951718989883648,41.77906362167,61.28294598745,0.5958,-1.377,2.178,19.770304,20.728146,18.736492,0.07
NGC_1027,465565182055866752,40.24236181903,60.60498797149,0.6284,-1.446,1.902,19.578695,20.702978,18.411455,0.07
NGC_1027,464950211462625792,41.65449991652,61.22374564437,0.9554,-1.741,1.936,16.519371,17.16683,15.747625,1.0
NGC_1027,464950074017174144,41.70636738186,61.22752275766,0.9045,-2.173,1.719,19.94992,21.067705,18.7825,0.19
NGC_1027,464949661706849280,41.57027409069,61.17340904302,0.83,-1.596,2.023,16.192581,16.815716,15.430469,1.0
NGC_1027,465564490566971904,40.31443932305,60.60564704802,1.0679,-1.601,1.861,20.07802,21.10773,18.922192,0.05
NGC_1027,465819478483095552,41.51761882391,62.27436854481,0.6206,-1.765,1.517,18.358004,19.003382,17.386797,0.06
NGC_1027,464949215025881472,41.7327074715,61.20010051557,0.4755,-1.301,2.257,20.114424,21.412037,18.888718,0.05
NGC_1027,464949043231528064,41.77163448307,61.19755071855,0.9019,-1.266,1.684,17.05393,17.785025,16.219202,0.24
NGC_1027,465821265193693184,41.52722515426,62.3992281869,0.9978,-1.83,2.11,15.333253,15.886968,14.608139,1.0
NGC_1027,464950172804082560,41.72560421913,61.2483284602,0.5034,-2.071,1.807,18.453068,19.051044,17.353218,0.09
NGC_1027,464952131306785152,41.80827641114,61.29512136226,1.0637,-1.766,2.22,19.275429,20.476744,18.201717,0.38
NGC_1027,464953608775555456,42.15386985233,61.29308454301,0.958,-1.346,1.555,17.10563,17.825632,16.28856,0.05
NGC_1027,464952646703100800,41.81598007955,61.36094195967,0.5846,-1.814,2.12,19.737486,20.769691,18.791529,0.06
NGC_1027,464952681062317696,42.12950934611,61.20253739525,0.8452,-1.683,2.05,17.742489,18.59116,16.850595,0.95
NGC_1027,464952685363761920,42.11787737753,61.20185309686,0.9092,-1.717,2.039,15.829679,16.3991,15.107857,1.0
NGC_1027,465822463479935488,41.59712488125,62.38871622679,1.0806,-1.511,2.166,17.903975,18.326235,16.829344,0.34
NGC_1027,465567548581124352,40.41353972288,60.73193650151,0.5838,-1.87,2.306,17.737478,18.508347,16.892242,0.1
NGC_1027,464953368257286144,42.21806500984,61.26200839142,1.2766,-1.713,2.104,19.97856,21.031345,18.866314,0.05
NGC_1027,465259036783873792,39.69491999158,60.89591748581,0.8792,-2.124,1.916,18.628414,19.460724,17.733284,0.22
NGC_1027,465567827763415296,40.38761788355,60.75290689529,0.7551,-1.901,1.61,19.448683,20.29776,18.541777,0.05
NGC_1027,465822738358454528,41.55464235281,62.41171089907,0.8578,-1.847,2.652,19.210812,20.355408,18.146704,0.08
NGC_1027,464954334632868864,42.10639534029,61.29670030162,0.9305,-1.412,2.007,17.682974,18.510344,16.79383,0.76
NGC_1027,464954777006880384,42.12364598466,61.35485597541,1.0786,-1.247,1.641,20.431482,21.157972,19.18122,0.05
NGC_1027,465569438366743552,40.79060956311,60.7310876489,0.903,-1.835,2.54,16.740294,17.505417,15.860866,0.56
NGC_1027,465821677510565504,41.65639450599,62.37041885641,1.0207,-1.779,1.91,19.397125,20.467173,18.40736,0.24
NGC_1027,464947806280926464,41.95144473176,61.20469540337,0.9042,-1.66,1.738,16.049967,16.642725,15.305415,1.0
NGC_1027,464941655887679104,42.25107030194,61.27600646911,0.8647,-1.681,1.65,16.552422,17.20667,15.765858,0.95
NGC_1027,464945740397815296,41.85993461013,61.14669980863,0.9811,-1.787,2.141,19.746935,20.754515,18.693317,0.2
NGC_1027,464922650651719168,43.20805720869,61.38687540324,0.5117,-1.856,1.564,20.06305,20.873283,18.847792,0.05
NGC_1027,465808208493859712,41.57677352221,62.06551745749,1.2837,-1.391,1.955,20.35032,21.07622,19.299253,0.06
NGC_1027,465809372418830848,41.56507109709,62.12922486539,1.0789,-2.225,2.514,19.144148,20.585165,18.0483,0.11
NGC_1027,465809582883358080,41.45736102042,62.15055375213,0.9818,-1.54,2.639,19.437824,20.620121,18.309639,0.09
NGC_1027,465809685957898240,41.47730830685,62.15141585311,0.6537,-2.13,1.719,19.92451,21.117786,18.69808,0.14
NGC_1027,464925781687795712,43.27888287955,61.49462737921,0.8847,-1.534,2.108,15.445359,15.993872,14.735071,0.99
NGC_1027,465245395975703936,39.52617509315,60.58330517154,0.8741,-2.137,2.112,16.72384,17.558813,15.83601,0.93
NGC_1027,465245975790304384,39.52142155876,60.61565185352,0.5408,-1.729,2.077,17.50732,18.232294,16.599356,0.07
NGC_1027,464928186870407552,42.1697727678,60.95829683416,0.7358,-1.72,1.338,19.47517,20.687752,18.368105,0.06
NGC_1027,465553804687810304,38.18079603596,61.76729566434,1.0979,-1.803,2.187,19.248001,20.503227,18.127436,0.18
NGC_1027,465247281460481536,39.44534293407,60.69165185181,0.461,-1.967,1.622,18.9393,20.12226,17.837236,0.07
NGC_1027,464931859059964544,41.8932244424,60.98257748749,1.1055,-1.832,2.312,19.242064,20.622856,18.19232,0.23
NGC_1027,464933199090347008,42.11305562425,61.05787448065,1.0408,-1.179,1.877,19.866774,20.855923,18.699078,0.07
NGC_1027,464934779640425216,42.16281912157,61.1538148951,1.0961,-1.264,1.746,18.868034,19.792744,17.651234,0.13
NGC_1027,464936776798423424,42.43259793461,61.12392573054,0.6829,-1.813,2.494,20.044275,21.049824,18.861542,0.05
NGC_1027,465812503456470656,41.41586778151,62.14615123238,0.9117,-1.581,1.534,19.485088,20.226929,18.428736,0.16
NGC_1027,464938597871002624,42.47851956232,61.19076090224,0.6974,-1.454,1.804,16.475357,17.11742,15.673106,0.11
NGC_1027,464939525585662720,42.28708732819,61.11162832532,1.1446,-1.502,2.01,19.807964,21.178839,18.678284,0.15
NGC_1027,464939555642022784,42.24926467042,61.10814018587,0.7078,-2.11,1.948,19.066229,20.475096,17.915699,0.27
NGC_1027,465813976624076032,41.29014619309,62.2360848728,1.0652,-1.513,1.571,19.345444,20.536081,18.295746,0.15
NGC_1027,464940105397964032,42.31964220746,61.15802511901,0.8752,-1.429,1.88,18.796675,19.754313,17.74852,0.3
NGC_1027,465265595198513408,38.949427715,60.80797743511,0.6755,-1.856,2.02,18.220499,19.22869,17.240019,0.31
NGC_1027,465815114800687104,41.71885202207,62.19324905129,0.845,-1.33,1.602,16.695389,17.195625,15.814787,0.08
NGC_1027,465559684502083072,40.47363913702,60.46682549037,0.9273,-1.366,1.754,18.072569,19.143057,17.04984,0.21
NGC_1027,465815836355730560,41.65036663879,62.19733819034,0.7619,-2.014,1.817,17.523436,18.2121,16.664066,0.61
NGC_1027,465256043193928576,39.73843222407,60.88150627273,0.6097,-2.224,2.1,18.827774,19.70481,17.90247,0.08
NGC_1027,464943713171085056,42.35991019386,61.33795124761,0.5831,-1.853,1.762,19.051865,20.029884,18.097942,0.1
NGC_1027,465818065433154816,41.75477956365,62.29786066492,1.2257,-1.681,2.435,19.78651,20.203749,18.499525,0.08
NGC_1027,465824357570342272,41.16559381862,62.22477576742,0.9116,-1.62,1.814,17.059484,17.842627,16.19972,1.0
NGC_1027,465571057575294848,40.90598138615,60.79021294012,0.643,-1.599,1.586,18.387798,19.264954,17.446165,0.1
NGC_1027,465570091201800320,40.75877846861,60.74432360056,0.6629,-1.528,1.787,18.315231,19.2976,17.3491,0.2
NGC_1027,465832844425560576,41.46551291563,62.37275747988,0.6448,-2.19,2.057,18.641956,19.29201,17.78602,0.06
NGC_1027,465579303912365568,40.18951650677,60.78463289096,0.8411,-1.672,1.526,17.416264,18.311617,16.47327,0.48
NGC_1027,465277591042460928,39.26020631257,61.10532409032,0.6999,-1.455,1.709,19.88792,20.854464,18.784822,0.07
NGC_1027,514000314232097792,37.8387800213,62.38426619536,0.9676,-1.896,2.252,17.79612,18.643883,16.91604,0.12
NGC_1027,514004063743113856,37.89397035857,62.59095400924,0.8674,-1.929,1.883,19.594206,20.798336,18.427847,0.07
NGC_1027,514012580656366464,38.53138217381,62.56991958749,1.0132,-1.536,1.635,18.723051,20.085194,17.63779,0.08
NGC_1027,514014749615929216,38.20342870414,62.55431084275,0.7257,-1.855,2.257,18.63728,19.68917,17.543602,0.23
NGC_1027,514015501234114304,38.34383664424,62.57123348254,0.9177,-2.133,2.278,18.09509,19.07984,17.149954,0.05
NGC_1027,514028596597426432,38.15791226192,62.65065037164,0.868,-1.994,1.742,15.535055,16.066988,14.842889,0.11
NGC_1027,514039076317801600,38.34992151874,62.94161064647,0.6821,-1.932,2.168,18.852802,19.25988,17.643808,0.12
NGC_1027,466112807573205248,39.69670751033,63.15608773452,0.9259,-1.952,1.95,15.7388315,16.299076,15.020844,0.83
NGC_1027,467535884855567872,41.11488628905,62.9054286942,0.9308,-1.936,2.048,8.369972,9.0170555,7.584709,1.0
NGC_1027,466410569065852672,43.66849894731,61.45688284807,0.9028,-1.379,1.972,16.04808,16.696941,15.25104,0.11
NGC_1027,466411977811627520,43.79610833928,61.48579058728,0.8968,-1.368,2.109,15.513376,16.110624,14.764639,0.06
NGC_1027,466413966378356864,44.06601150898,61.44532887614,1.0917,-1.395,1.804,19.19216,20.350117,18.051796,0.05
NGC_1027,467309037563416960,42.77170397084,62.7786871752,0.7767,-1.969,2.122,19.092793,20.493559,17.994778,0.14
NGC_1027,467319418496013440,42.09922139077,62.38788422184,0.7189,-2.112,2.439,18.696712,19.457155,17.709614,0.07
NGC_1027,467319933900547584,41.91326491704,62.38744112307,1.0562,-1.761,2.235,16.876255,17.611568,16.050676,0.59
NGC_1027,467323747832987776,41.82773284856,62.49838864134,1.3813,-1.647,1.503,18.702148,19.10638,17.47285,0.06
NGC_1027,467324812983339904,41.73500793424,62.52854933712,0.9451,-1.938,2.227,11.426104,11.637483,11.063943,1.0
NGC_1027,467329382828623744,42.27025572716,62.64491903307,0.8224,-2.435,2.416,17.69251,18.356684,16.742548,0.06
NGC_1027,467330516699981952,42.5290163088,62.68181786515,0.9847,-1.712,2.352,15.891182,16.494215,15.143943,0.18
NGC_1027,466440389017886592,44.32808521346,61.63133806983,1.1106,-1.645,1.811,18.710072,20.142664,17.512308,0.05
NGC_1027,467333505996909696,41.98986953512,62.70244920493,1.1005,-1.695,2.208,14.959027,15.482047,14.240129,0.22
NGC_1027,467345360106608000,41.99145362076,62.73842808405,0.9009,-1.732,2.268,16.083628,16.67465,15.347731,0.92
NGC_1027,466475612048766464,43.16575201232,61.6498245769,0.9934,-2.107,1.751,15.79203,16.435318,15.0053,0.26
NGC_1027,466478597042242816,43.31970353087,61.80025034758,0.7435,-1.619,1.858,17.126215,17.873005,16.28071,0.45
NGC_1027,465832565246697728,41.35173582371,62.35859168491,0.6381,-2.102,1.936,18.32975,19.015463,17.435911,0.1
