RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
41.52611010194,59.66330461091,464340390525839616,0.8485,0.278,3.447,-3.042,1.622,95,,1.4102,0.991,19.291763,20.494804,18.243275,2.25153,,41.19761762352,41.5261368697,59.663297401,0.8672770000000001,3
41.20162834067,59.65690297015,464342520829593344,1.0068,0.066,4.342,-2.224,3.729,31,1.36,,1.052,16.88032,17.795835,15.946208,1.849627,,41.25680303396,41.2016479041,59.65688639523,1.039312,3
41.23232575133,59.70519449751,464342903081036416,1.0499,0.5364,4.949,-3.707,3.279,95,,1.4512,1.091,19.948261,20.885586,18.634525,2.25106,,41.29493244546,41.23235841183,59.70517992536,1.072682,3
41.46268285127,59.71044895929,464343693356691584,0.9441,0.8736,3.393,-1.366,3.106,95,,1.3174,1.144,20.509865,21.45042,19.443134,2.007286,,41.25358682973,41.46269488869,59.7104351568,0.98944,3
41.49327611737,59.79747350102,464344552348174336,0.8856,0.3377,3.142,-2.768,1.487,95,,1.3082,1.071,19.456285,20.727522,18.367048,2.360474,,41.32736123812,41.49330056971,59.79746689349,0.910681,3
41.37410518627,59.78028462073,464344861591533184,0.9535,0.1107,3.986,-0.838,3.897,95,,1.3367,1.062,17.125492,,,,,41.33540141847,41.37411258998,59.78026729959,0.996131,3
41.02425013491,59.74454401985,464350045612504448,0.8885,0.4244,3.553,-2.212,2.78,95,,1.3103,1.009,19.822613,20.746143,18.8482,1.897944,,41.37287248181,41.02426964795,59.74453166354,0.915419,3
40.87982500346,59.80939034922,464354104355638272,0.8627,0.1284,3.13,-1.562,2.712,95,,1.3477,1.001,17.839539,,,,,41.46141182636,40.87983880788,59.80937829643,0.899597,3
41.13298622842,59.76604689752,464355818048611712,0.9461,0.1416,4.211,-3.188,2.751,31,1.34,,1.187,17.974598,18.859318,16.830763,2.028555,,41.37070025534,41.13301436943,59.7660346701,0.974596,3
41.32779464504,59.88958440081,464357776554021632,0.9749,0.459,3.343,-3.144,1.138,95,,1.2846,1.036,19.760437,20.688904,18.777771,1.911133,,41.44493276559,41.32782249549,59.88957934161,1.002062,3
