RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
122.87024614009,-13.11535104365,5726696228969656960,0.016,0.0158,0.7442,0.022,2.387,-2.34,0.023,-0.475,0.024,95,,1.5957,0.993,14.190425,14.44266,13.782435,0.660225,31.55,-32.2467632826,122.87025681658,-13.11534893079,0.784497,0.5819886116247407,1,0.6602250000000005,0.7039839029312134,0.7126885652542114,0.00023247078934218735,0.7126212120056152,0.699999988079071,0.7126885652542114,0.7126339673995972,0.7126885652542114,0.0
122.59202631051,-13.17519005282,5726703685031241344,0.0168,0.0133,0.7686,0.0233,2.418,-2.344,0.024,-0.59,0.018,31,1.561,,0.954,15.022554,15.338043,14.543532,0.794511,,-32.37357805531,122.59203701137,-13.17518742845,0.8109489999999999,0.5786544779736374,1,0.794511,0.7146609425544739,0.7154518365859985,9.035236871568486e-05,0.7153717875480652,0.699999988079071,0.7153998017311096,0.7153432965278625,0.7154318690299988,0.0
122.49352908597,-13.14844276718,5726704887622111616,0.0896,0.0668,0.78,0.138,2.24,-2.209,0.137,-0.375,0.095,31,1.378,,1.026,18.151987,19.010061,17.282957,1.727104,,-32.3720022735,122.4935391673,-13.14844110005,0.8056030000000001,0.588212525441203,1,1.7271040000000006,0.7075167298316956,0.7075167298316956,1.1102230246251565e-16,0.7075167298316956,0.699999988079071,0.7075167298316956,0.7075167298316956,0.7075167298316956,0.0
122.74452548014,-13.16888173911,5726705914117480192,0.0642,0.0571,0.8053,0.087,2.277,-2.204,0.087,-0.572,0.077,31,1.424,,1.003,17.5173,18.186255,16.751081,1.435173,,-32.32973734265,122.74453553969,-13.16887919816,0.833929,0.5755516305836149,1,1.435174,0.7178685665130615,0.7180187106132507,9.870628673525061e-06,0.7180172801017761,0.699999988079071,0.7180187106132507,0.7180187106132507,0.7180187106132507,0.0
122.74794836669,-13.173530915,5726705918414183296,0.0101,0.0088,0.7507,0.0137,2.451,-2.403,0.013,-0.48,0.011,31,1.624,,0.999,13.536399,13.734624,13.206924,0.5277,,-32.33338457247,122.74795933609,-13.17352877962,0.792983,0.5844329580693091,1,0.5276999999999994,0.707522451877594,0.7106595039367676,0.00028356333496049047,0.7104989886283875,0.699999988079071,0.7106280326843262,0.7104417681694031,0.7106595039367676,0.0
122.72071816323,-13.15808955251,5726706085916198272,0.1252,0.1136,0.8205,0.1642,2.355,-2.333,0.166,-0.322,0.16,31,1.357,,1.012,18.560844,19.502098,17.65528,1.846819,,-32.32520125328,122.72072880995,-13.15808811985,0.844027,0.5496682414720502,1,1.846817999999999,0.7392381429672241,0.7392381429672241,1.1102230246251565e-16,0.7392381429672241,0.7200000286102295,0.7392381429672241,0.7392381429672241,0.7392381429672241,0.0
122.68867277059,-13.13060172561,5726707121005038848,0.0271,0.0222,0.7313,0.0371,2.408,-2.367,0.036,-0.447,0.029,31,1.522,,1.009,15.894482,16.289066,15.336594,0.952473,,-32.30655318313,122.68868357075,-13.13059973776,0.7737799999999999,0.49683978879633406,1,0.9524719999999984,0.7801920175552368,0.7812580466270447,9.37271979637444e-05,0.7812227010726929,0.7799999713897705,0.7812580466270447,0.781220555305481,0.7812580466270447,0.0
122.76678250638,-13.14587453347,5726707636402802176,0.0244,0.0214,0.6954,0.0336,2.454,-2.434,0.033,-0.315,0.028,95,,1.6902,1.369,11.542542,11.626965,11.383563,0.243402,34.06,-32.30196942193,122.76679361398,-13.14587313503,0.7304820000000001,0.5489925612575204,1,0.24340199999999967,0.7394235134124756,0.7397871017456055,2.7829177270177752e-05,0.739782989025116,0.7200000286102295,0.7397871017456055,0.7397871017456055,0.7397871017456055,0.0
122.70535326035,-13.10173497374,5726708800334169344,0.0113,0.0094,0.7778,0.015,2.442,-2.397,0.015,-0.464,0.012,31,1.648,,0.968,12.85725,13.010116,12.592715,0.4174,,-32.2745051977,122.70536419896,-13.10173291181,0.810529,0.4528043020083941,1,0.4174009999999999,0.8090097308158875,0.8146214485168457,0.0006590489065274596,0.8142037987709045,0.800000011920929,0.8143962621688843,0.8141618967056274,0.8145590424537659,0.0
122.77080808982,-13.03248284535,5726709491826934656,0.0439,0.0419,0.7235,0.059,2.485,-2.449,0.064,-0.418,0.067,31,1.466,,0.949,16.770298,17.318415,16.084341,1.234074,,-32.19131509045,122.770819264,-13.03248098656,0.754552,0.3781666984790994,1,1.2340740000000032,0.8665919899940491,0.8667453527450562,9.38422090257518e-06,0.8667441606521606,0.8600000143051147,0.8667453527450562,0.8667453527450562,0.8667453527450562,0.0
