RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
120.75024500753,-12.17685469873,3036167945540297216,0.0871,0.0647,0.8691,0.1415,3.414,-3.204,0.141,1.178,0.099,31,1.376,,1.031,18.310925,19.15596,17.442314,1.713646,,-31.84913060615,120.75025957629,-12.17685993526,0.8938269999999999
120.74850242298,-12.16904778162,3036168014259997824,0.3567,0.2588,0.8023,0.6067,2.525,-2.522,0.528,0.119,0.432,95,,1.4111,1.033,20.078209,20.758951,19.249168,1.509783,,-31.84195855656,120.74851389143,-12.16904830919,0.798188
120.77480108819,-12.16391581299,3036173851116718848,0.2784,0.2068,0.7845,0.4647,2.086,-1.933,0.416,-0.784,0.31,31,1.506,,1.023,19.835163,20.270933,19.323252,0.947681,,-31.83081942864,120.77480987849,-12.16391232985,0.7973359999999999
120.82886251089,-12.10236815819,3036174503951833984,0.3092,0.246,0.6575,0.5399,2.136,-2.117,0.436,-0.285,0.358,31,1.45,,1.046,20.013603,20.62064,19.541338,1.079302,,-31.75839884852,120.82887213486,-12.10236689168,0.665763
120.83079927617,-12.11014011047,3036174508246849152,0.3851,0.2784,0.8398,0.7343,4.241,-4.052,0.606,1.251,0.43,95,,1.3247,1.015,20.33407,21.634747,19.380322,2.254425,,-31.76549006627,120.83081769654,-12.11014567255,0.819051
120.83069693445,-12.10019391219,3036174538311575808,0.0746,0.0571,0.6073,0.1241,1.905,-1.898,0.12,-0.17,0.091,31,1.443,,1.031,18.199812,18.8196,17.518991,1.300608,,-31.75585798475,120.83070556003,-12.10019315516,0.632523
120.83669911665,-12.09470390571,3036174538311584000,0.0847,0.0639,0.5912,0.1415,2.219,-1.244,0.144,-1.837,0.106,31,1.414,,0.986,18.386425,19.065283,17.622574,1.442709,,-31.74912095879,120.83670476896,-12.09469574018,0.615366
120.82195526921,-12.08971729342,3036174611326063104,0.329,0.2461,0.8475,0.5621,3.792,-3.211,0.479,-2.017,0.39,95,,1.4023,1.048,20.124277,20.808762,19.142027,1.666735,,-31.74773579106,120.82196986371,-12.08970832945,0.842145
120.80701811394,-12.06706176661,3036174881909004544,0.3465,0.2689,0.6662,0.5719,2.698,-2.457,0.495,1.114,0.432,31,1.484,,0.966,20.039885,20.399418,19.49719,0.902227,,-31.72923979014,120.80702928259,-12.06706671733,0.6762050000000001
120.86196760741,-12.06770074892,3036176221938799744,0.2272,0.1742,0.6622,0.3983,1.558,-1.53,0.337,-0.294,0.268,31,1.528,,1.067,19.64379,19.978436,19.16408,0.814356,,-31.71698005955,120.86197455992,-12.0676994429,0.6777070000000001
120.86589169955,-12.05384383978,3036176260594179968,0.3226,0.2353,0.8302,0.5866,1.703,-1.33,0.447,1.063,0.377,95,,1.522,1.032,20.021528,20.645718,19.41659,1.229128,,-31.70260720898,120.86589774609,-12.05384856371,0.845315
120.84617805485,-12.05812304778,3036176432395651584,0.0166,0.0125,0.6137,0.0255,4.105,-3.966,0.026,1.059,0.02,31,1.571,,1.014,15.058605,15.354387,14.598854,0.755533,,-31.71138470904,120.84619607978,-12.05812775431,0.656281
120.88288218641,-12.00219629671,3036177046572620800,0.1555,0.1174,0.6314,0.2788,0.934,-0.709,0.234,0.608,0.181,31,1.512,,1.014,19.199148,19.60333,18.685612,0.917719,,-31.64848155156,120.88288540759,-12.00219899769,0.650705
120.83581537999,-12.03463468476,3036177257031058176,0.0284,0.021,0.6337,0.0464,1.927,-0.763,0.045,-1.769,0.034,95,,1.5115,0.959,16.235035,16.678843,15.635866,1.042976,,-31.69101008558,120.8358188483,-12.03462682066,0.661706
120.80165713606,-12.01664645017,3036177527608927616,0.1308,0.1002,0.8452,0.2183,1.88,-1.865,0.206,-0.244,0.153,31,1.429,,1.009,18.960209,19.550852,18.278694,1.272158,,-31.68154635169,120.80166560868,-12.01664536448,0.866427
120.80101107005,-12.01406385941,3036177531903817600,0.3012,0.2494,0.8328,0.4847,2.574,-2.554,0.442,0.324,0.345,95,,1.2617,1.042,19.914051,21.13314,18.79099,2.34215,,-31.67919007956,120.80102267552,-12.01406529825,0.802011
120.8502809017,-12.00816797654,3036177669343443456,0.3846,0.2736,0.7563,0.6401,1.238,-1.195,0.54,-0.323,0.444,95,,1.3611,1.031,20.17492,20.816328,19.248264,1.568064,,-31.66192411262,120.85028633019,-12.00816654102,0.74315
120.8451726333,-11.95378761004,3036178184739509760,0.2996,0.2205,0.8932,0.5969,4.116,-3.944,0.447,1.176,0.357,95,,1.4063,0.974,20.00084,20.934265,19.032677,1.901588,,-31.61032436187,120.84519055292,-11.95379283861,0.887624
120.82862580843,-11.95725929856,3036181105319332480,0.011,0.0089,0.7827,0.0174,2.407,-2.268,0.018,0.805,0.014,31,1.617,,1.267,12.007233,12.213915,11.656758,0.557157,-17.66,-31.61757095062,120.82863611177,-11.95726287568,0.8222119999999999
120.96675373317,-11.98371474856,3037678120460140672,0.4246,0.3368,0.7669,0.6522,2.28,-2.259,0.576,-0.31,0.483,95,,1.2846,1.011,20.102997,21.159498,18.978233,2.181265,,-31.61084366715,120.96676399579,-11.9837133694,0.7360760000000001
120.90480904772,-11.98948887169,3037678296559313792,0.0454,0.0338,0.7753,0.0825,3.123,-2.238,0.078,-2.179,0.06,31,1.423,,1.009,17.254555,17.934092,16.48434,1.449751,,-31.63099990985,120.90481921658,-11.98947918908,0.804771
120.93792033315,-11.95825706824,3037678464057534720,0.2647,0.1967,0.6826,0.4315,0.987,-0.867,0.418,0.471,0.304,31,1.507,,0.982,19.707727,20.11004,19.273914,0.836126,,-31.59290670937,120.93792427297,-11.95825916339,0.6967329999999999
120.96931577676,-11.97097650201,3037678571434906496,0.3042,0.2362,0.5958,0.479,1.883,-1.443,0.436,1.21,0.346,31,1.494,,0.997,19.967115,20.329948,19.448605,0.881344,,-31.59787642713,120.96932233094,-11.97098188018,0.606685
