RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
120.75024500753,-12.17685469873,3036167945540297216,0.0871,0.0647,0.8691,0.1415,3.414,-3.204,0.141,1.178,0.099,31,1.376,,1.031,18.310925,19.15596,17.442314,1.713646,,-31.84913060615,120.75025957629,-12.17685993526,0.8938269999999999
120.74850242298,-12.16904778162,3036168014259997824,0.3567,0.2588,0.8023,0.6067,2.525,-2.522,0.528,0.119,0.432,95,,1.4111,1.033,20.078209,20.758951,19.249168,1.509783,,-31.84195855656,120.74851389143,-12.16904830919,0.798188
120.77480108819,-12.16391581299,3036173851116718848,0.2784,0.2068,0.7845,0.4647,2.086,-1.933,0.416,-0.784,0.31,31,1.506,,1.023,19.835163,20.270933,19.323252,0.947681,,-31.83081942864,120.77480987849,-12.16391232985,0.7973359999999999
120.83079927617,-12.11014011047,3036174508246849152,0.3851,0.2784,0.8398,0.7343,4.241,-4.052,0.606,1.251,0.43,95,,1.3247,1.015,20.33407,21.634747,19.380322,2.254425,,-31.76549006627,120.83081769654,-12.11014567255,0.819051
120.80165713606,-12.01664645017,3036177527608927616,0.1308,0.1002,0.8452,0.2183,1.88,-1.865,0.206,-0.244,0.153,31,1.429,,1.009,18.960209,19.550852,18.278694,1.272158,,-31.68154635169,120.80166560868,-12.01664536448,0.866427
120.80101107005,-12.01406385941,3036177531903817600,0.3012,0.2494,0.8328,0.4847,2.574,-2.554,0.442,0.324,0.345,95,,1.2617,1.042,19.914051,21.13314,18.79099,2.34215,,-31.67919007956,120.80102267552,-12.01406529825,0.802011
120.8451726333,-11.95378761004,3036178184739509760,0.2996,0.2205,0.8932,0.5969,4.116,-3.944,0.447,1.176,0.357,95,,1.4063,0.974,20.00084,20.934265,19.032677,1.901588,,-31.61032436187,120.84519055292,-11.95379283861,0.887624
120.82862580843,-11.95725929856,3036181105319332480,0.011,0.0089,0.7827,0.0174,2.407,-2.268,0.018,0.805,0.014,31,1.617,,1.267,12.007233,12.213915,11.656758,0.557157,-17.66,-31.61757095062,120.82863611177,-11.95726287568,0.8222119999999999
120.90412487436,-11.91961034771,3037679563569184000,0.118,0.0983,0.7121,0.1805,2.856,-2.851,0.187,0.16,0.152,31,1.428,,1.036,18.7973,19.42811,18.06648,1.36163,,-31.5633218658,120.90413782694,-11.91961105743,0.7341479999999999
121.03983780424,-11.9102389739,3037680358143570176,0.3024,0.2328,0.8901,0.5153,3.728,-3.644,0.466,0.789,0.374,95,,1.3349,1.046,19.961433,20.942047,19.006262,1.935785,,-31.52232995888,121.03985435578,-11.91024247919,0.872252
120.99400303156,-11.90426569564,3037680495582529152,0.0111,0.0088,0.7257,0.0177,1.923,-1.797,0.016,0.685,0.013,31,1.492,,1.071,11.042953,11.512328,10.409547,1.102781,31.85,-31.52731620402,120.99401119196,-11.9042687382,0.752595
121.0662475171,-11.8627515534,3037681109757461888,0.0529,0.0421,0.8039,0.089,1.854,-1.721,0.079,-0.69,0.065,31,1.426,,0.989,17.438488,18.104204,16.666409,1.437796,,-31.4700190506,121.06625533242,-11.86274848624,0.8328509999999999
120.96954740642,-11.87382714978,3037681560731508736,0.2355,0.1885,0.7036,0.3687,3.755,-3.691,0.341,0.69,0.277,95,,1.4012,1.215,19.583384,20.340061,18.802084,1.537977,,-31.50351671152,120.96956416798,-11.87383021649,0.707749
120.84021526692,-11.93115469358,3037682419727828608,0.0469,0.0381,0.6743,0.0759,3.591,-3.585,0.076,0.206,0.058,31,1.407,,1.013,17.464705,18.18789,16.65173,1.536159,,-31.58951105994,120.84023155023,-11.93115561024,0.703197
120.88593341127,-11.90895639716,3037682518506691328,0.4481,0.3649,0.8879,0.8223,2.687,-2.493,0.747,1.003,0.569,95,,1.3729,0.995,20.51915,21.133945,19.859241,1.274704,,-31.5572450537,120.88594473275,-11.9089608568,0.879572
121.00137127391,-11.81597066639,3037685129846903424,0.2977,0.2276,0.72,0.4808,2.507,-2.413,0.449,0.679,0.354,95,,1.3324,1.068,19.95042,20.860428,18.98614,1.874289,,-31.43987436629,121.00138223166,-11.81597368517,0.702162
120.90402380025,-11.80451797705,3037685851404467840,0.089,0.0708,0.6811,0.1437,4.102,-4.06,0.139,0.586,0.107,31,1.413,,0.933,18.49499,19.177916,17.678867,1.499048,,-31.45160641231,120.90404223533,-11.80452058325,0.704673
121.13541360597,-11.83951011707,3037686882193530368,0.2659,0.213,0.8906,0.434,3.13,-3.014,0.395,0.842,0.337,95,,1.38,1.007,19.864704,20.70806,19.184551,1.523508,,-31.43115798635,121.13542729318,-11.83951385968,0.8842549999999999
121.06978746302,-11.81390822197,3037687951642575488,0.2392,0.3118,0.8335,0.3251,2.204,-1.84,0.296,1.213,0.379,95,,1.4453,1.056,19.071135,,,,,-31.42177704141,121.06979581841,-11.81391361355,0.850156
121.13528755785,-11.77257770779,3037688531461073408,0.0703,0.0558,0.8272,0.1108,2.101,-2.092,0.11,0.196,0.087,31,1.376,,0.982,17.930393,18.747263,17.058247,1.689016,,-31.3662274837,121.13529705534,-11.7725785788,0.854041
121.15561940987,-11.72769483195,3037690150665550720,0.3221,0.2601,0.7483,0.5115,2.151,-2.03,0.525,0.711,0.414,31,1.472,,1.092,20.09242,20.51815,19.459354,1.058796,,-31.3178712269,121.15562862528,-11.72769799095,0.757622
121.07439531449,-11.73140405185,3037691795636285056,0.1766,0.145,0.7353,0.2597,3.622,-3.365,0.259,1.339,0.212,31,1.449,,1.04,19.298147,19.882687,18.64827,1.234417,,-31.34060917405,121.07441058879,-11.73141000434,0.7525029999999999
121.00461176321,-11.69158675003,3037693066947654656,0.1546,0.1216,0.803,0.2337,3.431,-3.221,0.242,1.182,0.179,31,1.389,,1.03,19.075739,19.780361,18.28825,1.492111,,-31.31836411634,121.00462638322,-11.69159200276,0.822654
