RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
123.00767995338,-13.92776032087,5724918868422661120,0.0225,0.021,0.8103,0.0328,2.498,-2.426,0.033,-0.595,0.03,31,1.532,,0.958,15.580099,15.963792,15.036696,0.927096,,-32.9976113653,123.00769106273,-13.927757678,0.852579
122.87657346865,-13.86322529768,5725107915705369984,0.0249,0.0203,0.804,0.0383,2.409,-2.29,0.041,-0.747,0.03,31,1.521,,1.029,15.763227,16.162367,15.196784,0.965583,,-32.9680776112,122.87658395165,-13.86322197767,0.8462860000000001
122.51637513969,-13.96590697488,5725113481983114240,0.0463,0.0348,0.7145,0.0745,2.281,-2.239,0.069,-0.433,0.047,31,1.475,,0.984,17.050293,17.589607,16.384487,1.20512,,-33.15696822585,122.5163853954,-13.96590505115,0.744836
122.55615591098,-13.84729054823,5725116849237274752,0.0244,0.0198,0.7071,0.0384,2.272,-2.152,0.035,-0.728,0.026,31,1.537,,0.975,15.925107,16.289055,15.386557,0.902498,,-33.0324236983,122.55616576105,-13.84728731403,0.7484789999999999
122.62322479551,-13.76011470328,5725126401244507904,0.0488,0.0377,0.7557,0.0697,2.415,-2.357,0.069,-0.526,0.05,31,1.453,,0.963,17.15225,17.761162,16.422697,1.338465,,-32.93150381261,122.62323557918,-13.760112365,0.785536
122.56569768127,-13.71306046418,5725127462097961728,0.0321,0.0234,0.7444,0.0458,2.483,-2.385,0.045,-0.689,0.032,31,1.506,,0.954,16.258614,16.699545,15.66151,1.038034,,-32.90027235616,122.56570859441,-13.71305740041,0.7771309999999999
122.44324469018,-13.76548591696,5725168079608466304,0.0116,0.0087,0.7389,0.0173,2.586,-2.559,0.017,-0.37,0.012,31,1.598,,1.057,14.012406,14.255021,13.619826,0.635195,32.14,-32.98126505094,122.44325640061,-13.76548427079,0.7810010000000001
122.43636937176,-13.68764094363,5725169724574250368,0.0612,0.0474,0.7825,0.0988,2.489,-2.457,0.088,-0.398,0.066,31,1.423,,0.976,17.5918,18.29011,16.808563,1.481546,,-32.90767652453,122.43638060981,-13.68763917412,0.810724
122.25283097676,-13.34182603034,5725198762854646272,0.0337,0.0272,0.843,0.0483,2.586,-2.476,0.049,-0.746,0.037,31,1.491,,1.043,16.38283,16.864662,15.752508,1.112154,,-32.61828199139,122.25284228506,-13.34182271358,0.875296
121.77346919495,-13.47624644707,5725921623028823552,0.028,0.0222,0.7004,0.0412,2.355,-2.319,0.041,-0.41,0.031,31,1.503,,0.984,16.195013,16.635645,15.595461,1.040184,,-32.86530884127,121.77347979201,-13.47624462297,0.73327
