GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Cluster,Pmemb,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx_x,e_Plx,RPlx,PM,pmRA_x,e_pmRA,pmDE_x,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag_x,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag_x,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag_x,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
5725183060454307840,122.54345653117,-13.44112574987,0.5316,-2.749,-0.215,19.453873,19.289522,18.325554,NGC_2539,0.11,Gaia DR3 5725183060454307840,122.54345653117,-13.44112574987,0.0,0.0,92.0,1636148068921376768,5725183060454307840,644991214,0.1997,0.1562,0.5316,0.323,1.6457,2.757,-2.749,0.312,-0.215,0.228,-0.0163,0.0683,-0.0601,-0.0707,-0.0413,0.0467,0.2695,0.3613,-0.3474,0.0686,518,0,517,1,-1.8313,479.0,0.0,0.0,95,false,,1.3611,0.0512,-0.102,-0.065,-0.124,-0.021,0.302,59,19,0.44177,63,0.03651,41.67,0,0,0.943,0,524,311.45662,1.05668,294.749,19.453873,0.0046,18,262.789,32.9363,7.97872,19.289522,0.136108,19,370.627,27.0772,13.6878,18.325554,0.079412,2.034,0,0,0,1,0,0.963968,-0.164351,1.128319,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,3.9E-5,0.99996,,,,,,,,,,,,,,,,,,,,,,,122.54346909259,-13.4411247938,5.009369,3.603222,0.0699,0.0
5725182953073887360,122.51435717994,-13.45734193419,0.6788,-2.414,0.028,18.965633,19.964792,17.986687,NGC_2539,0.06,Gaia DR3 5725182953073887360,122.51435717994,-13.45734193419,0.0,0.0,95.0,1636148068921376768,5725182953073887360,894264316,0.1397,0.1059,0.6788,0.2264,2.9988,2.414,-2.414,0.219,0.028,0.152,-0.0482,0.0369,-0.0745,-0.068,-0.0779,-0.0105,0.274,0.3476,-0.3189,0.0529,562,0,561,1,-0.3978,566.45,0.0,0.0,31,false,1.342,,,,,,,,64,21,0.308912,65,0.03058,38.94,0,0,0.987,0,555,488.30758,0.852467,572.817,18.965633,0.003344,53,141.091,6.60241,21.3697,19.964792,0.050884,52,506.388,5.95196,85.0792,17.986687,0.013309,1.326,0,1,0,0,0,1.978106,0.999159,0.978947,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999991,3501.7,3457.5,3590.6,4.6673,4.6082,4.9899,-0.9845,-1.106,-0.775,609.8657,548.7965,667.1966,0.1266,0.0392,0.2597,0.0873,0.027,0.1797,0.0486,0.015,0.1002,PHOENIX,122.51436821227,-13.45734205734,3.51063,2.398008,0.0564,0.0
5725180723992144256,122.44602176269,-13.53485782158,0.708,-2.336,-0.247,18.9928,19.908337,18.105816,NGC_2539,0.13,Gaia DR3 5725180723992144256,122.44602176269,-13.53485782158,0.0,0.0,99.0,1636148068921376768,5725180723992144256,1254346094,0.1459,0.1049,0.708,0.2344,3.0197,2.349,-2.336,0.227,-0.247,0.149,-0.1033,0.1502,0.0941,-0.1581,-0.084,-0.0728,0.3572,0.4179,-0.2994,0.0256,569,0,565,4,0.4456,609.59,0.0,0.0,95,false,,1.3526,0.0325,-0.051,-0.027,-0.094,0.043,0.227,67,21,0.324191,70,0.01711,74.48,0,0,1.013,0,574,476.24143,0.808239,589.233,18.9928,0.003315,58,148.622,4.78086,31.0868,19.908337,0.035037,61,453.766,5.41278,83.8324,18.105816,0.013491,1.265,0,2,0,2,0,1.802521,0.915537,0.886984,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,3874.4,3847.4,3899.5,4.9475,4.8946,5.0437,-1.0535,-1.26,-0.9075,897.9735,683.1788,1017.3751,0.0352,0.011,0.0716,0.0253,0.0079,0.0516,0.0138,0.0043,0.0281,MARCS,122.44603243921,-13.53485672378,3.623407,2.351267,0.0357,0.0
5725178696767530112,122.62096458064,-13.51029850417,0.6625,-2.193,-0.258,18.503292,19.363157,17.563908,NGC_2539,0.4,Gaia DR3 5725178696767530112,122.62096458064,-13.51029850417,0.0,0.0,100.0,1636148068921376768,5725178696767530112,1305359093,0.1074,0.0833,0.6625,0.1634,4.0535,2.208,-2.193,0.172,-0.258,0.126,-0.0944,0.0479,-0.0625,-0.116,-0.0745,-0.0635,0.2809,0.2804,-0.2338,0.0331,537,0,535,2,-0.7772,526.43,0.0,0.0,31,true,1.366,,,,,,,,61,22,0.241063,64,0.02115,46.86,0,0,0.976,0,542,747.53281,0.931154,802.803,18.503292,0.003069,57,245.558,6.52459,37.6358,19.363157,0.028983,59,747.473,8.44021,88.5609,17.563908,0.012829,1.328,0,2,0,4,0,1.79925,0.859865,0.939384,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999949,4152.7,4132.1,4200.3,4.5207,4.5109,4.5444,0.0156,-0.0103,0.1559,1566.4601,1547.6082,1584.4427,0.6517,0.606,0.7099,0.4708,0.4377,0.5143,0.2539,0.2363,0.2768,MARCS,122.62097460429,-13.51029735712,2.765433,1.990795,0.0404,0.0
5725178314509097728,122.53904759146,-13.54758586656,0.7476,-1.777,-0.625,18.062864,18.826242,17.112633,NGC_2539,0.14,Gaia DR3 5725178314509097728,122.53904759146,-13.54758586656,0.0,0.0,102.0,1636148068921376768,5725178314509097728,1373082410,0.0811,0.0616,0.7476,0.1254,5.9632,1.884,-1.777,0.12,-0.625,0.087,-0.1293,0.0441,0.0543,-0.1345,-0.0457,-0.0538,0.39,0.322,-0.2412,0.0406,586,0,585,1,-0.7276,579.61,0.0,0.0,31,false,1.389,,,,,,,,67,22,0.169747,69,0.03332,46.09,0,0,0.978,0,578,1121.50385,1.1494,975.726,18.062864,0.002972,63,402.643,5.6976,70.6689,18.826242,0.015615,63,1132.67,7.73431,146.448,17.112633,0.008322,1.369,0,63,0,63,0,1.71361,0.763378,0.950232,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999956,3997.3,3956.5,4038.0,4.8289,4.7946,4.8641,-0.8159,-0.9247,-0.7098,749.288,693.5451,808.6554,0.2636,0.1997,0.3303,0.1917,0.1449,0.2405,0.1028,0.0777,0.1289,PHOENIX,122.5390557154,-13.54758308977,1.923987,1.365186,0.0493,0.0
5725178284450703744,122.5238453979,-13.5547876352,0.8972,-2.041,-1.035,18.128174,19.031157,17.218672,NGC_2539,0.13,Gaia DR3 5725178284450703744,122.5238453979,-13.5547876352,0.0,0.0,99.0,1636148068921376768,5725178284450703744,241816288,0.0861,0.0646,0.8972,0.1328,6.7576,2.288,-2.041,0.13,-1.035,0.091,-0.0927,0.0634,0.0349,-0.1456,-0.0267,-0.0472,0.4095,0.2932,-0.2731,0.0658,596,0,596,0,1.247,662.33,0.248,0.82525,31,false,1.368,,,,,,,,69,22,0.182185,72,0.02112,52.97,0,0,1.036,0,604,1056.03263,1.01496,1040.47,18.128174,0.002946,62,333.391,7.60639,43.8305,19.031157,0.024928,60,1027.28,7.69004,133.586,17.218672,0.008963,1.288,0,1,0,3,0,1.812485,0.902983,0.909502,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999945,3704.0,3692.8,3720.7,4.3707,4.3169,4.4297,-1.747,-1.7897,-1.6903,617.8392,589.4248,641.8072,0.0245,0.0069,0.055,0.0174,0.0049,0.0392,0.0094,0.0026,0.0213,MARCS,122.52385473001,-13.55478303733,2.074241,1.427605,0.0751,0.0
5725177322378014592,122.58699559432,-13.57374274417,0.7159,-2.209,-0.687,18.133297,18.89306,17.343302,NGC_2539,0.59,Gaia DR3 5725177322378014592,122.58699559432,-13.57374274417,0.0,0.0,99.0,1636148068921376768,5725177322378014592,426728054,0.0875,0.0652,0.7159,0.138,5.1874,2.313,-2.209,0.139,-0.687,0.092,-0.0935,0.0981,0.1439,-0.0805,-0.0679,-0.0288,0.368,0.4283,-0.2567,0.018,543,0,539,4,0.7578,583.14,0.0,0.0,31,false,1.407,,,,,,,,62,21,0.198191,65,0.02674,45.55,0,0,1.023,0,548,1051.06115,1.10424,951.837,18.133297,0.002982,62,378.61,7.94016,47.683,18.89306,0.02294,55,915.878,9.41986,97.2284,17.343302,0.011789,1.232,0,2,0,1,0,1.549759,0.759764,0.789995,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999988,4232.7,4142.9,4255.3,4.6634,4.6277,4.7358,-0.0668,-0.7502,0.0086,1325.9608,1069.9056,1391.9224,0.1224,0.0368,0.1645,0.0907,0.0272,0.1219,0.0483,0.0145,0.0649,MARCS,122.58700569223,-13.57373969147,2.21236,1.445309,0.0228,0.0
5725191719100945920,122.17695982462,-13.46570373757,0.5495,-1.861,-0.586,19.916786,21.186285,18.865263,NGC_2539,0.07,Gaia DR3 5725191719100945920,122.17695982462,-13.46570373757,0.0,0.0,115.0,1636148068921376768,5725191719100945920,392197431,0.2944,0.2283,0.5495,0.4515,1.2169,1.951,-1.861,0.407,-0.586,0.303,-0.2984,0.0504,0.1755,-0.3423,-0.0133,-0.1812,0.6664,0.3781,-0.152,-0.0862,669,0,669,0,1.4738,749.8,0.855,1.1455,95,false,,1.4804,0.0633,-0.177,0.092,-0.081,0.045,0.096,77,19,0.591242,78,0.01541,93.41,0,0,1.04,0,665,203.34449,0.540312,376.346,19.916786,0.003989,52,45.8039,3.76081,12.1793,21.186285,0.08919,70,225.451,5.46019,41.2901,18.865263,0.026566,1.334,0,1,0,1,0,2.321022,1.269499,1.051523,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999993,,,,,,,,,,,,,,,,,,,,,,,122.1769683277,-13.46570113427,6.46662,4.692202,-0.0652,0.0
5725177146277921792,122.59954750162,-13.59548132717,0.9464,-2.139,-0.433,18.228474,19.106945,17.349697,NGC_2539,0.54,Gaia DR3 5725177146277921792,122.59954750162,-13.59548132717,0.0,0.0,103.0,1636148068921376768,5725177146277921792,404791578,0.0897,0.0686,0.9464,0.1334,7.0948,2.182,-2.139,0.129,-0.433,0.094,-0.1292,0.0276,-7.0E-4,-0.1332,-0.0426,-0.0881,0.3229,0.3728,-0.2353,-0.0577,549,0,547,2,-0.891,535.09,0.0,0.0,31,false,1.376,,,,,,,,63,22,0.183765,66,0.02135,35.4,0,0,0.972,0,557,962.84616,1.08234,889.599,18.228474,0.003014,56,310.913,6.30699,49.2966,19.106945,0.022201,55,910.499,6.95166,130.976,17.349697,0.00911,1.269,0,1,0,0,0,1.757248,0.878471,0.878777,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999989,4207.9,3988.0,4362.8,4.705,4.6761,4.8533,-0.2968,-0.87,0.0086,1084.4366,760.136,1225.0643,0.5768,0.3607,0.7007,0.4207,0.261,0.5123,0.2254,0.1401,0.2735,PHOENIX,122.59955728163,-13.59547940074,2.068282,1.478312,-0.0488,0.0
5725171171984956160,122.27925142557,-13.7005243443,0.7345,-2.481,-0.961,15.898523,16.275734,15.356508,NGC_2539,0.09,Gaia DR3 5725171171984956160,122.27925142557,-13.7005243443,0.0,0.0,98.0,1636148068921376768,5725171171984956160,415385656,0.0255,0.0212,0.7345,0.0418,17.5911,2.66,-2.481,0.04,-0.961,0.029,-0.0546,-0.0261,0.0653,-0.158,0.0532,-0.061,0.6161,0.2732,-0.1207,0.081,627,0,624,3,0.9954,682.89,0.0,0.0,31,false,1.531,,,,,,,,72,21,0.055756,74,0.0305,76.26,0,0,1.028,0,635,8232.6058,2.47417,3327.42,15.898523,0.002775,68,4218.16,10.8467,388.889,16.275734,0.003947,66,5708.93,8.1089,704.033,15.356508,0.004082,1.206,0,4,0,1,0,0.919226,0.377211,0.542015,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999966,5469.1,5429.1,5533.9,4.5953,4.5663,4.6172,-0.307,-0.3559,-0.2275,1129.3091,1088.753,1200.8915,0.1102,0.0832,0.1523,0.091,0.0686,0.1259,0.0488,0.0367,0.0674,MARCS,122.27926277301,-13.70052007172,0.633433,0.452078,0.0928,0.0
