GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Cluster,Pmemb
5727475713997164544,122.0857958055,-12.93937944788,0.943,-2.372,-0.566,17.386324,18.035172,16.613567,NGC_2539,0.84
5727515811804670592,122.63848384515,-12.56640883935,1.2234,-2.221,-0.051,19.603275,20.804945,18.510267,NGC_2539,0.09
5727507462388545664,122.52343386503,-12.67258819624,0.8526,-2.399,-0.955,19.21772,20.322325,18.229084,NGC_2539,0.21
5727507496752995840,122.5362277872,-12.66270802007,0.816,-2.199,-0.547,16.872574,17.405119,16.186954,NGC_2539,1.0
5727507561172761856,122.50930655364,-12.67092219119,0.5242,-2.144,-0.415,18.661766,19.653498,17.700052,NGC_2539,0.34
5727507634191970944,122.50000270183,-12.66432177884,0.7972,-2.162,-0.627,16.262781,16.71539,15.630763,NGC_2539,1.0
5727508179649245056,122.58869252388,-12.66327811017,1.3217,-2.585,-0.42,19.644526,20.804356,18.555016,NGC_2539,0.1
5727507771630905088,122.51702815164,-12.6389622328,0.8458,-2.033,-0.597,18.525953,19.676216,17.49591,NGC_2539,0.66
5727508012149665920,122.61850972594,-12.67745495799,0.7509,-2.21,-0.656,13.517174,13.713009,13.18459,NGC_2539,1.0
5727508080869467136,122.58871440696,-12.67964559548,0.7523,-2.359,-0.49,14.676732,14.967432,14.226639,NGC_2539,1.0
5727508115229197312,122.5973343457,-12.67347231811,0.7679,-2.433,-0.562,18.084526,18.916624,17.207651,NGC_2539,0.93
5727508252668150528,122.62276765929,-12.65877233379,0.8638,-2.387,-0.509,16.320541,16.77938,15.705321,NGC_2539,1.0
5727508321386675584,122.60208056888,-12.6439267855,0.7439,-2.322,-0.605,13.900245,14.13383,13.52342,NGC_2539,1.0
5727508390106763648,122.65933568715,-12.65400552385,0.6866,-2.489,-0.601,16.858976,17.524982,15.903053,NGC_2539,0.4
5727508493185969920,122.674195533,-12.63796638083,0.6852,-2.127,-0.593,16.739077,17.254328,16.069323,NGC_2539,1.0
5727508591965041920,122.67100836039,-12.62579576158,0.8905,-2.487,-0.604,19.111685,20.333694,18.07466,NGC_2539,0.36
5727508768063881344,122.65415000455,-12.6292300486,0.7576,-2.336,-0.502,15.934011,16.345287,15.363198,NGC_2539,1.0
5727508802423611520,122.67020106576,-12.61602599518,0.5917,-2.421,-0.195,17.352598,18.20631,16.465036,NGC_2539,0.4
5727508802423617152,122.65645796717,-12.61810057219,0.7338,-2.213,-0.606,13.518789,13.723153,13.181629,NGC_2539,1.0
5727509008581460736,122.56711125348,-12.64213459906,0.5655,-2.187,-0.424,16.912045,17.403034,16.27156,NGC_2539,0.47
5727509042941187968,122.58752460916,-12.64317758781,0.7357,-2.147,-0.697,17.53702,18.219069,16.760897,NGC_2539,0.99
5727509180380161792,122.55066586987,-12.64426796055,0.7653,-2.634,-0.765,14.22722,14.485194,13.813423,NGC_2539,1.0
5727509214739898112,122.54719139449,-12.63395206787,0.6844,-2.519,-0.336,17.9855,18.794792,17.14712,NGC_2539,0.73
5727509214739901440,122.54302134002,-12.63577641592,0.8392,-2.204,-0.583,16.646713,17.1528,15.984117,NGC_2539,0.98
5727509352178835968,122.56517285706,-12.61676934884,0.7551,-2.181,-0.496,15.184035,15.542252,14.649013,NGC_2539,1.0
5727509523977510528,122.59577543247,-12.61138456489,0.9443,-2.236,-0.421,17.538095,18.211702,16.768257,NGC_2539,0.81
5727509554037782784,122.61304244923,-12.60342288646,1.1999,-2.229,-0.962,19.216438,20.387024,18.242441,NGC_2539,0.13
5727507217575330688,122.47091539389,-12.68784759187,0.8923,-1.683,-0.232,19.913939,20.932358,18.849775,NGC_2539,0.06
5727507153155655168,122.48167359861,-12.69696615408,0.7329,-2.153,-0.432,16.41812,16.872059,15.79401,NGC_2539,1.0
5727507084436198784,122.45271746974,-12.70240961498,0.7356,-2.353,-0.609,14.022125,14.259762,13.6363535,NGC_2539,1.0
5727507011416827392,122.46687776345,-12.71523620818,0.6939,-2.388,-0.424,17.651968,18.36337,16.85092,NGC_2539,0.94
5727503815961526272,122.86965913336,-12.58423728761,0.8139,-2.492,-0.215,16.888363,17.509094,16.139294,NGC_2539,0.92
5726820881802990976,123.3313009947,-12.86733782032,0.9528,-2.571,-0.868,18.709543,20.041748,17.655743,NGC_2539,0.12
5727503884681010304,122.8583366743,-12.58197077653,0.2647,-2.619,-0.379,19.036957,20.156277,17.992502,NGC_2539,0.07
5727504095139371904,122.94172798875,-12.5658029549,0.7388,-2.289,-0.486,14.809051,15.109033,14.344565,NGC_2539,1.0
5727504713614686464,122.833736282,-12.55821606245,0.7876,-2.481,-0.538,15.468904,15.826095,14.938594,NGC_2539,1.0
5726233197136458112,121.56856118842,-12.6443987156,0.7057,-2.301,-0.411,16.337315,16.830915,15.671571,NGC_2539,0.97
5727505435169181824,122.84172863836,-12.51318069594,0.6754,-2.242,-0.574,16.578062,17.0641,15.931571,NGC_2539,1.0
5727505602667378048,122.51897890205,-12.78091412774,0.678,-2.44,-0.497,18.809368,19.83597,17.859785,NGC_2539,0.72
5727505606968056064,122.52235255922,-12.7812146187,0.7094,-2.401,-0.139,19.082876,20.24181,18.086134,NGC_2539,0.37
5727505744406994560,122.53952869409,-12.75222314593,0.7826,-2.284,-0.447,12.112547,12.193433,11.964647,NGC_2539,1.0
5727505950565447936,122.48885008434,-12.74958938878,0.6492,-2.671,-0.458,9.100706,9.775632,8.311246,NGC_2539,0.97
5727505950565451392,122.48620819726,-12.75335375611,0.7865,-2.233,-0.71,14.531421,14.809185,14.093023,NGC_2539,1.0
5727509592696958720,122.63770699246,-12.60703151702,0.7031,-2.297,-0.528,17.886942,18.667616,17.053453,NGC_2539,0.92
5727505984925176192,122.49722253359,-12.7336197862,0.7648,-2.26,-0.475,13.834181,14.05581,13.468644,NGC_2539,1.0
5727506191083568896,122.57435894947,-12.72993171114,0.7845,-2.407,-0.486,12.3704605,12.463492,12.202998,NGC_2539,1.0
5727506255502546688,122.56618496161,-12.72768235495,0.3372,-2.635,-0.777,19.212399,20.186728,18.303001,NGC_2539,0.06
5727506294162774528,122.58642582736,-12.71731144243,0.767,-2.265,-0.593,13.048679,13.210958,12.772713,NGC_2539,1.0
