RAJ2000,DEJ2000,pmRA,pmDE,Gmag,BP-RP,Plx,cluster
120.75025957629,-12.17685993526,-3.204,1.178,18.310925,1.713646,0.8691,0
120.74851389143,-12.16904830919,-2.522,0.119,20.078209,1.509783,0.8023,0
120.77480987849,-12.16391232985,-1.933,-0.784,19.835163,0.947681,0.7845,0
120.82887213486,-12.10236689168,-2.117,-0.285,20.013603,1.079302,0.6575,0
120.83081769654,-12.11014567255,-4.052,1.251,20.33407,2.254425,0.8398,0
120.83070556003,-12.10019315516,-1.898,-0.17,18.199812,1.300608,0.6073,0
120.83670476896,-12.09469574018,-1.244,-1.837,18.386425,1.442709,0.5912,1
120.82196986371,-12.08970832945,-3.211,-2.017,20.124277,1.666735,0.8475,1
120.80702928259,-12.06706671733,-2.457,1.114,20.039885,0.902227,0.6662,0
120.86197455992,-12.0676994429,-1.53,-0.294,19.64379,0.814356,0.6622,0
120.86589774609,-12.05384856371,-1.33,1.063,20.021528,1.229128,0.8302,0
120.84619607978,-12.05812775431,-3.966,1.059,15.058605,0.755533,0.6137,0
120.88288540759,-12.00219899769,-0.709,0.608,19.199148,0.917719,0.6314,0
120.8358188483,-12.03462682066,-0.763,-1.769,16.235035,1.042976,0.6337,1
120.80166560868,-12.01664536448,-1.865,-0.244,18.960209,1.272158,0.8452,0
120.80102267552,-12.01406529825,-2.554,0.324,19.914051,2.34215,0.8328,0
120.85028633019,-12.00816654102,-1.195,-0.323,20.17492,1.568064,0.7563,0
120.84519055292,-11.95379283861,-3.944,1.176,20.00084,1.901588,0.8932,0
120.82863611177,-11.95726287568,-2.268,0.805,12.007233,0.557157,0.7827,0
120.96676399579,-11.9837133694,-2.259,-0.31,20.102997,2.181265,0.7669,1
120.90481921658,-11.98947918908,-2.238,-2.179,17.254555,1.449751,0.7753,1
120.93792427297,-11.95825916339,-0.867,0.471,19.707727,0.836126,0.6826,0
120.96932233094,-11.97098188018,-1.443,1.21,19.967115,0.881344,0.5958,0
120.96817785069,-11.95625621284,-0.747,1.041,16.675667,1.071047,0.6563,0
120.98620152947,-11.93786246235,-0.842,-2.403,20.051376,2.092018,0.8782,1
120.96952788838,-11.92841423143,-2.527,-1.8,14.513682,0.771566,0.7321,1
120.97605295863,-11.91609496558,-1.173,-1.315,19.412523,1.040503,0.7221,1
120.91778796391,-11.93782648401,-0.889,-1.15,20.134151,1.376902,0.9032,1
120.87965515061,-11.93308594022,-2.009,1.113,20.426085,1.39835,0.6732,0
120.90413782694,-11.91961105743,-2.851,0.16,18.7973,1.36163,0.7121,0
120.93283587794,-11.91867348691,-2.163,-2.211,15.765945,1.053406,0.8144,1
120.96955589737,-11.91953033803,-2.585,1.306,20.3551,1.088034,0.6175,0
120.95811769821,-11.89515792266,-1.535,0.94,19.737127,1.409746,0.6015,0
120.91501740373,-11.89425978853,-3.85,-0.255,18.669289,1.84289,0.5901,0
120.93838241583,-11.89899760826,-2.859,-2.024,19.987991,2.380947,0.7747,1
120.94829233076,-11.88236528582,-4.283,-1.7,19.025019,1.538149,0.5921,1
121.03985435578,-11.91024247919,-3.644,0.789,19.961433,1.935785,0.8901,0
120.99401119196,-11.9042687382,-1.797,0.685,11.042953,1.102781,0.7257,0
121.01856334998,-11.9020020137,-1.035,-1.711,17.120518,1.275948,0.6893,1
121.0422673062,-11.89050206107,-1.749,0.397,20.168825,0.611563,0.7965,0
121.06618085253,-11.88738086312,-1.892,-1.305,19.45786,1.327797,0.6668,1
121.09542684734,-11.86618639431,-2.496,0.75,19.50287,1.556669,0.6459,0
121.04023594958,-11.86627588443,-1.791,0.931,20.3728,0.954132,0.8591,0
121.07636164457,-11.86520025618,-1.188,0.986,20.228344,1.227675,0.6223,0
121.06625533242,-11.86274848624,-1.721,-0.69,17.438488,1.437796,0.8039,0
121.06351797864,-11.84054774146,-1.283,-1.257,17.784742,1.29493,0.6131,1
120.98686291471,-11.8980317321,-0.385,0.689,19.837698,1.738537,0.7937,0
120.96956416798,-11.87383021649,-3.691,0.69,19.583384,1.537977,0.7036,0
121.01877939953,-11.85787634135,-3.304,0.765,17.599346,1.209868,0.6317,0
120.98608314871,-11.83410029737,-3.279,0.053,16.63608,1.040798,0.608,0
121.02750028123,-11.82728168391,-1.47,-0.508,17.661152,1.43977,0.5992,0
120.85449673382,-11.93651941483,-0.632,-1.111,20.583935,1.146576,0.6522,1
120.84023155023,-11.93115561024,-3.585,0.206,17.464705,1.536159,0.6743,0
120.8415351471,-11.91976671437,-0.77,-0.536,19.204523,0.923615,0.5814,0
120.88594473275,-11.9089608568,-2.493,1.003,20.51915,1.274704,0.8879,0
120.86081485889,-11.9194612545,-3.912,-0.244,15.217285,0.945175,0.6224,0
120.86438107694,-11.88596844501,-1.251,1.141,19.625614,1.02953,0.5928,0
120.91055175247,-11.89464517252,-0.835,-0.96,19.218943,1.172167,0.6476,1
120.91651863011,-11.8698892048,-1.639,-1.054,20.564354,1.615522,0.6769,1
120.8714297707,-11.88153185566,-0.664,0.457,20.220638,0.711157,0.6747,0
120.90339973702,-11.85974497569,-1.679,-1.341,19.15764,1.567583,0.7935,1
120.94159382946,-11.84494491234,-1.105,-0.424,16.350637,1.220768,0.6499,0
120.96585446932,-11.840294136,-0.579,-1.688,18.482662,1.354902,0.7696,1
120.9707201726,-11.84179086172,-1.603,1.378,20.854967,0.766664,0.7099,0
120.89840009936,-11.83110608198,-1.251,-0.197,19.250105,1.130621,0.5994,0
120.91144704731,-11.83359111796,-0.793,-0.066,17.769794,1.257559,0.6298,0
121.00138223166,-11.81597368517,-2.413,0.679,19.95042,1.874289,0.72,0
120.99016386244,-11.81176822427,-0.928,-0.639,19.73301,0.823265,0.72,0
121.0116632532,-11.79949193632,-0.579,0.306,20.143957,1.362501,0.8459,0
120.96016489823,-11.81039481953,-0.709,1.019,20.357811,1.207691,0.6367,0
120.91360813384,-11.79813808063,-1.689,-2.32,18.370848,1.473288,0.6143,1
120.90404223533,-11.80452058325,-4.06,0.586,18.49499,1.499048,0.6811,0
121.1117225525,-11.86692981462,-2.771,1.409,16.867239,0.93536,0.6178,0
121.0931882893,-11.85359921305,-1.263,0.427,19.584044,1.089432,0.6436,0
121.13542729318,-11.83951385968,-3.014,0.842,19.864704,1.523508,0.8906,0
121.08597033041,-11.83280434064,-1.873,-0.263,19.748737,1.594782,0.616,0
121.12840307313,-11.81314833603,-0.891,0.742,20.469784,1.368164,0.8073,0
121.13408964226,-11.81433799345,-2.179,-0.073,20.594793,0.418013,0.6464,0
121.10785288597,-11.81942876143,-2.362,-0.981,15.917223,0.918551,0.632,1
121.1407299493,-11.79176442092,-1.023,0.098,20.626682,1.232561,0.6939,0
121.12515502192,-11.79784570364,-1.733,-2.407,20.517447,1.426035,0.8285,1
121.05674334295,-11.77216429414,-0.838,0.117,19.915213,1.53751,0.6919,0
121.07230440621,-11.77129482418,-1.192,0.293,20.481707,0.741804,0.609,0
121.10301952381,-11.77988545478,-2.164,0.671,20.449354,0.947386,0.6247,0
121.13529705534,-11.7725785788,-2.092,0.196,17.930393,1.689016,0.8272,0
121.20699500836,-11.77219330247,-1.498,-0.76,20.397673,2.053972,0.6189,1
121.2180158313,-11.74650791807,-1.098,-0.787,18.439907,1.875385,0.6686,1
121.17152588754,-11.76735251374,-3.556,-0.145,19.262032,1.463293,0.6081,0
121.16687113766,-11.76104635729,-1.511,0.657,19.48112,1.302002,0.7708,0
121.26238355277,-11.73313942381,-0.442,1.018,20.106285,1.263349,0.7992,0
121.26482478675,-11.71757000867,-0.96,-0.273,18.120073,1.842138,0.802,0
121.22505129179,-11.70215560472,-2.368,-1.145,18.942438,1.384224,0.6982,1
121.15562862528,-11.72769799095,-2.03,0.711,20.09242,1.058796,0.7483,0
121.129505119,-11.71563892872,-1.528,0.037,19.055468,1.009472,0.6898,0
121.19386728296,-11.70181660234,-2.619,-1.471,20.200611,1.641827,0.7746,1
121.19234415275,-11.70385480527,-2.935,1.262,16.60129,1.094764,0.6476,0
121.2264077819,-11.68451299382,-2.361,-0.2,18.676228,1.058388,0.6142,0
121.24157910299,-11.6806750933,-1.344,-1.337,19.992222,1.962627,0.723,1
121.02456715713,-11.77894966552,-1.774,-0.991,15.524337,0.834723,0.6359,1
121.03195539421,-11.77822254474,-0.367,0.73,20.458544,0.959112,0.7073,0
121.00741954986,-11.75136082702,-1.517,-0.408,19.641733,1.066339,0.6479,0
121.0720335292,-11.74256903509,-0.806,-0.191,19.328411,0.733305,0.5848,0
121.08583038668,-11.7357472151,-1.963,-1.725,19.722565,1.71249,0.822,1
121.07441058879,-11.73141000434,-3.365,1.339,19.298147,1.234417,0.7353,0
121.07938831096,-11.69738854539,-3.301,-0.939,20.656933,1.568394,0.6481,1
120.98338844952,-11.74916821062,-2.076,1.178,15.969831,0.812593,0.5938,0
121.04274789398,-11.6929422644,-1.269,0.941,19.293621,0.771677,0.6107,0
121.00462638322,-11.69159200276,-3.221,1.182,19.075739,1.492111,0.803,0
121.0251926776,-11.67519490664,-1.032,1.411,16.604458,1.022286,0.7208,0
121.02511085365,-11.67492862254,-1.126,1.327,17.240389,1.050177,0.5983,0
121.00747223171,-11.6597948404,-1.98,-0.324,18.795395,1.143906,0.8451,0
121.14619290853,-11.67531320233,-2.334,1.406,18.69742,1.105938,0.5834,0
121.11813583985,-11.64934136484,-3.813,-0.984,19.867455,1.646835,0.7517,1
121.15975927033,-11.67113489861,-2.547,0.619,18.726582,1.302561,0.778,0
121.1840402828,-11.64193502878,-0.853,-0.213,18.35968,1.267734,0.6749,0
121.16529091122,-11.64628878134,-2.577,-0.006,16.90769,1.024134,0.5696,0
121.17297273608,-11.635558484,-2.222,0.853,19.67567,1.670484,0.7681,0
121.13796883707,-11.63079725791,-1.456,0.246,20.449211,1.596558,0.7242,0
121.16061251567,-11.62770481588,-0.622,0.666,17.968725,1.851273,0.6139,0
121.0946832112,-11.6561400684,-0.432,0.246,19.71151,0.807651,0.8579,0
121.07698606825,-11.64163691154,-0.455,0.383,15.471886,0.792079,0.5786,0
121.04726133141,-11.65830303226,-3.888,-0.501,20.240522,1.676844,0.8302,1
121.04646850636,-11.64584022283,-1.496,0.471,20.07113,0.747614,0.7507,0
121.05836624763,-11.62183529336,-1.514,-0.782,18.8384,1.205635,0.6965,0
121.06075282672,-11.6209540226,-2.352,-1.564,19.70933,1.801205,0.7929,1
121.11706471456,-11.63629306406,-2.224,0.555,19.774801,1.765312,0.67,0
121.10804975945,-11.6184554151,-2.559,0.633,19.272804,1.357327,0.6515,0
121.12594735068,-11.58358233248,-3.939,-0.483,19.173063,1.026049,0.7179,0
121.09985518255,-11.58792545825,-3.35,-1.386,16.741312,1.189156,0.7066,1
121.04829293963,-11.61139550525,-1.751,1.287,20.297058,1.718422,0.674,0
121.05338705465,-11.61647427266,-0.794,0.375,16.001781,0.925882,0.7129,0
121.26823437536,-11.6851910321,-3.623,-0.394,20.132992,1.818832,0.7657,0
121.32741960141,-11.65361875814,-1.678,-0.667,18.624666,1.756809,0.8692,0
121.36076621895,-11.64927518316,-1.959,1.316,20.134665,1.47398,0.6261,0
121.35004049926,-11.65786117445,-2.901,0.175,20.26429,1.829369,0.7481,0
121.34094847796,-11.62660507059,-0.817,-0.693,19.750328,1.661398,0.6537,1
121.23760004744,-11.66748582878,-1.656,-0.658,18.941053,1.081749,0.7403,0
121.26330284118,-11.6396384284,-1.757,0.285,17.244413,1.668627,0.7918,0
121.23588131406,-11.64515541235,-1.624,-1.419,16.943665,0.944744,0.6081,1
121.21340400084,-11.64754531275,-4.17,-1.548,17.87381,1.288408,0.6273,1
121.25109076357,-11.62354587137,-0.85,0.581,18.973001,1.390596,0.6607,0
121.26824123699,-11.59920082525,-2.213,-0.862,14.309424,0.671228,0.7856,0
121.34973249363,-11.61354758871,-2.263,0.862,19.770346,1.635584,0.7602,0
121.36707046559,-11.60599792766,-3.657,-0.913,18.036251,1.68619,0.6011,1
121.35559612895,-11.60005716676,-1.412,1.149,20.444036,1.478428,0.6129,0
121.44623534588,-11.57993122358,-1.658,0.184,18.702066,1.014223,0.6009,0
121.441560477,-11.56984231581,-3.416,1.336,19.657879,1.339289,0.5874,0
121.43808923933,-11.55010637434,-1.015,0.162,19.845915,0.785488,0.5875,0
121.4106716414,-11.54102501543,-0.36,-1.228,20.775795,1.102305,0.6186,1
121.34598812663,-11.57602164339,-2.86,-1.85,19.88349,1.848631,0.6711,1
121.37203314922,-11.56898958893,-2.675,0.068,19.62504,1.192179,0.7294,0
121.34247830137,-11.54913635013,-0.784,-0.015,18.200167,1.718128,0.6702,0
121.31257835379,-11.54845038505,-0.446,0.4,19.958715,1.18598,0.9042,0
121.34152001907,-11.53757575569,-2.177,0.605,19.981722,1.470352,0.6281,0
121.36300130003,-11.5448270847,-1.066,0.984,20.092834,1.578218,0.8815,0
121.33924607628,-11.52965160099,-3.084,-1.12,18.441118,1.974403,0.8034,1
121.3697954475,-11.5026735997,-0.39,0.938,20.402266,1.446678,0.751,0
121.22617870959,-11.61406872586,-1.296,0.345,19.999346,1.049488,0.8647,0
121.20492249839,-11.60387623846,-1.012,0.646,19.930325,0.846518,0.6285,0
