RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
120.75024500753,-12.17685469873,3036167945540297216,0.0871,0.0647,0.8691,0.1415,3.414,-3.204,0.141,1.178,0.099,31,1.376,,1.031,18.310925,19.15596,17.442314,1.713646,,-31.84913060615,120.75025957629,-12.17685993526,0.8938269999999999,0
120.74850242298,-12.16904778162,3036168014259997824,0.3567,0.2588,0.8023,0.6067,2.525,-2.522,0.528,0.119,0.432,95,,1.4111,1.033,20.078209,20.758951,19.249168,1.509783,,-31.84195855656,120.74851389143,-12.16904830919,0.798188,0
120.77480108819,-12.16391581299,3036173851116718848,0.2784,0.2068,0.7845,0.4647,2.086,-1.933,0.416,-0.784,0.31,31,1.506,,1.023,19.835163,20.270933,19.323252,0.947681,,-31.83081942864,120.77480987849,-12.16391232985,0.7973359999999999,0
120.83079927617,-12.11014011047,3036174508246849152,0.3851,0.2784,0.8398,0.7343,4.241,-4.052,0.606,1.251,0.43,95,,1.3247,1.015,20.33407,21.634747,19.380322,2.254425,,-31.76549006627,120.83081769654,-12.11014567255,0.819051,0
120.82195526921,-12.08971729342,3036174611326063104,0.329,0.2461,0.8475,0.5621,3.792,-3.211,0.479,-2.017,0.39,95,,1.4023,1.048,20.124277,20.808762,19.142027,1.666735,,-31.74773579106,120.82196986371,-12.08970832945,0.842145,0
120.86589169955,-12.05384383978,3036176260594179968,0.3226,0.2353,0.8302,0.5866,1.703,-1.33,0.447,1.063,0.377,95,,1.522,1.032,20.021528,20.645718,19.41659,1.229128,,-31.70260720898,120.86589774609,-12.05384856371,0.845315,0
120.80165713606,-12.01664645017,3036177527608927616,0.1308,0.1002,0.8452,0.2183,1.88,-1.865,0.206,-0.244,0.153,31,1.429,,1.009,18.960209,19.550852,18.278694,1.272158,,-31.68154635169,120.80166560868,-12.01664536448,0.866427,0
120.80101107005,-12.01406385941,3036177531903817600,0.3012,0.2494,0.8328,0.4847,2.574,-2.554,0.442,0.324,0.345,95,,1.2617,1.042,19.914051,21.13314,18.79099,2.34215,,-31.67919007956,120.80102267552,-12.01406529825,0.802011,0
120.8502809017,-12.00816797654,3036177669343443456,0.3846,0.2736,0.7563,0.6401,1.238,-1.195,0.54,-0.323,0.444,95,,1.3611,1.031,20.17492,20.816328,19.248264,1.568064,,-31.66192411262,120.85028633019,-12.00816654102,0.74315,0
120.8451726333,-11.95378761004,3036178184739509760,0.2996,0.2205,0.8932,0.5969,4.116,-3.944,0.447,1.176,0.357,95,,1.4063,0.974,20.00084,20.934265,19.032677,1.901588,,-31.61032436187,120.84519055292,-11.95379283861,0.887624,0
120.82862580843,-11.95725929856,3036181105319332480,0.011,0.0089,0.7827,0.0174,2.407,-2.268,0.018,0.805,0.014,31,1.617,,1.267,12.007233,12.213915,11.656758,0.557157,-17.66,-31.61757095062,120.82863611177,-11.95726287568,0.8222119999999999,0
120.96675373317,-11.98371474856,3037678120460140672,0.4246,0.3368,0.7669,0.6522,2.28,-2.259,0.576,-0.31,0.483,95,,1.2846,1.011,20.102997,21.159498,18.978233,2.181265,,-31.61084366715,120.96676399579,-11.9837133694,0.7360760000000001,0
120.90480904772,-11.98948887169,3037678296559313792,0.0454,0.0338,0.7753,0.0825,3.123,-2.238,0.078,-2.179,0.06,31,1.423,,1.009,17.254555,17.934092,16.48434,1.449751,,-31.63099990985,120.90481921658,-11.98947918908,0.804771,0
120.93792033315,-11.95825706824,3037678464057534720,0.2647,0.1967,0.6826,0.4315,0.987,-0.867,0.418,0.471,0.304,31,1.507,,0.982,19.707727,20.11004,19.273914,0.836126,,-31.59290670937,120.93792427297,-11.95825916339,0.6967329999999999,0
120.98619770543,-11.93787314436,3037678915032798080,0.3879,0.3029,0.8782,0.5532,2.547,-0.842,0.54,-2.403,0.444,95,,1.3669,1.026,20.051376,21.148426,19.056408,2.092018,,-31.56177406255,120.98620152947,-11.93786246235,0.865517,0
120.96951641092,-11.92842223176,3037678983754044672,0.0139,0.0106,0.7321,0.021,3.102,-2.527,0.021,-1.8,0.016,31,1.567,,0.936,14.513682,14.816634,14.045068,0.771566,30.25,-31.55652150121,120.96952788838,-11.92841423143,0.774354,0
120.97604763194,-11.91610080821,3037679013813372672,0.1841,0.1441,0.7221,0.2993,1.762,-1.173,0.268,-1.315,0.217,31,1.47,,0.986,19.412523,19.837828,18.797325,1.040503,,-31.54302579613,120.97605295863,-11.91609496558,0.7383409999999999,0
120.91778392582,-11.93783159701,3037679288691265664,0.425,0.3312,0.9032,0.6345,1.454,-0.889,0.573,-1.15,0.483,95,,1.3472,1.033,20.134151,20.730501,19.3536,1.376902,,-31.57780608964,120.91778796391,-11.93782648401,0.886936,0
120.90412487436,-11.91961034771,3037679563569184000,0.118,0.0983,0.7121,0.1805,2.856,-2.851,0.187,0.16,0.152,31,1.428,,1.036,18.7973,19.42811,18.06648,1.36163,,-31.5633218658,120.90413782694,-11.91961105743,0.7341479999999999,0
120.95483573887,-11.92839720235,3037679636591582464,0.134,0.1193,0.7396,0.2267,3.419,-3.329,0.203,-0.779,0.172,95,,1.5338,1.125,18.776743,,,,,-31.55994683038,120.95485086284,-11.92839374232,0.756119,0
120.93282605073,-11.91868331449,3037679705305762432,0.022,0.0175,0.8144,0.0329,3.094,-2.163,0.033,-2.211,0.027,31,1.508,,0.975,15.765945,16.165089,15.111683,1.053406,,-31.55568602173,120.93283587794,-11.91867348691,0.856772,0
120.93836942945,-11.89900660187,3037680014543913216,0.2736,0.2116,0.7747,0.4485,3.503,-2.859,0.423,-2.024,0.335,95,,1.2994,0.99,19.987991,21.256132,18.875185,2.380947,,-31.53528265686,120.93838241583,-11.89899760826,0.7481490000000001,0
121.03983780424,-11.9102389739,3037680358143570176,0.3024,0.2328,0.8901,0.5153,3.728,-3.644,0.466,0.789,0.374,95,,1.3349,1.046,19.961433,20.942047,19.006262,1.935785,,-31.52232995888,121.03985435578,-11.91024247919,0.872252,0
120.99400303156,-11.90426569564,3037680495582529152,0.0111,0.0088,0.7257,0.0177,1.923,-1.797,0.016,0.685,0.013,31,1.492,,1.071,11.042953,11.512328,10.409547,1.102781,31.85,-31.52731620402,120.99401119196,-11.9042687382,0.752595,0
121.01855864944,-11.90200961979,3037680564302002816,0.0422,0.0337,0.6893,0.0685,2.0,-1.035,0.064,-1.711,0.052,31,1.456,,0.985,17.120518,17.690449,16.414501,1.275948,,-31.51935048533,121.01856334998,-11.9020020137,0.7193390000000001,0
121.04225936234,-11.89050029748,3037680594361358208,0.3521,0.2817,0.7965,0.6802,1.793,-1.749,0.517,0.397,0.451,31,1.553,,0.926,20.168825,20.373577,19.762014,0.611563,,-31.5026010043,121.0422673062,-11.89050206107,0.810128,0
121.04022781769,-11.86627174538,3037681041037979264,0.381,0.3303,0.8591,0.7925,2.018,-1.791,0.631,0.931,0.526,95,,1.4095,1.022,20.3728,20.74169,19.787558,0.954132,,-31.47956204512,121.04023594958,-11.86627588443,0.857301,0
121.0662475171,-11.8627515534,3037681109757461888,0.0529,0.0421,0.8039,0.089,1.854,-1.721,0.079,-0.69,0.065,31,1.426,,0.989,17.438488,18.104204,16.666409,1.437796,,-31.4700190506,121.06625533242,-11.86274848624,0.8328509999999999,0
120.98686116803,-11.8980286689,3037681247196381568,0.2656,0.1975,0.7937,0.4713,0.789,-0.385,0.397,0.689,0.311,95,,1.3616,1.031,19.837698,20.738459,18.999922,1.738537,,-31.52294102133,120.98686291471,-11.8980317321,0.785281,0
120.96954740642,-11.87382714978,3037681560731508736,0.2355,0.1885,0.7036,0.3687,3.755,-3.691,0.341,0.69,0.277,95,,1.4012,1.215,19.583384,20.340061,18.802084,1.537977,,-31.50351671152,120.96956416798,-11.87383021649,0.707749,0
120.84021526692,-11.93115469358,3037682419727828608,0.0469,0.0381,0.6743,0.0759,3.591,-3.585,0.076,0.206,0.058,31,1.407,,1.013,17.464705,18.18789,16.65173,1.536159,,-31.58951105994,120.84023155023,-11.93115561024,0.703197,0
120.88593341127,-11.90895639716,3037682518506691328,0.4481,0.3649,0.8879,0.8223,2.687,-2.493,0.747,1.003,0.569,95,,1.3729,0.995,20.51915,21.133945,19.859241,1.274704,,-31.5572450537,120.88594473275,-11.9089608568,0.879572,0
120.90339211384,-11.85975093398,3037683343140458112,0.1568,0.1242,0.7935,0.2454,2.148,-1.679,0.243,-1.341,0.183,31,1.392,,0.946,19.15764,19.942291,18.374708,1.567583,,-31.50537931076,120.90339973702,-11.85974497569,0.811928,0
120.96585183826,-11.8403016398,3037684683170272640,0.0914,0.0714,0.7696,0.142,1.785,-0.579,0.152,-1.688,0.11,31,1.434,,0.996,18.482662,19.082943,17.72804,1.354902,,-31.47183931228,120.96585446932,-11.840294136,0.7932899999999999,0
120.97071289417,-11.84178473519,3037684721828704000,0.9557,0.7964,0.7099,2.3215,2.114,-1.603,2.213,1.378,1.623,95,,1.6036,1.06,20.854967,20.95531,20.188646,0.766664,,-31.47213731327,120.9707201726,-11.84179086172,0.7498319999999999,0
121.00137127391,-11.81597066639,3037685129846903424,0.2977,0.2276,0.72,0.4808,2.507,-2.413,0.449,0.679,0.354,95,,1.3324,1.068,19.95042,20.860428,18.98614,1.874289,,-31.43987436629,121.00138223166,-11.81597368517,0.702162,0
120.99015965092,-11.81177106233,3037685129846910080,0.2243,0.1765,0.72,0.3556,1.126,-0.928,0.357,-0.639,0.273,31,1.499,,0.992,19.73301,20.091915,19.26865,0.823265,,-31.43843240248,120.99016386244,-11.81176822427,0.733556,0
121.01166062417,-11.79949057608,3037685267285882624,0.3328,0.2684,0.8459,0.5213,0.655,-0.579,0.502,0.306,0.411,95,,1.3301,1.061,20.143957,20.65504,19.29254,1.362501,,-31.42145788049,121.0116632532,-11.79949193632,0.826047,0
120.90402380025,-11.80451797705,3037685851404467840,0.089,0.0708,0.6811,0.1437,4.102,-4.06,0.139,0.586,0.107,31,1.413,,0.933,18.49499,19.177916,17.678867,1.499048,,-31.45160641231,120.90404223533,-11.80452058325,0.704673,0
121.13541360597,-11.83951011707,3037686882193530368,0.2659,0.213,0.8906,0.434,3.13,-3.014,0.395,0.842,0.337,95,,1.38,1.007,19.864704,20.70806,19.184551,1.523508,,-31.43115798635,121.13542729318,-11.83951385968,0.8842549999999999,0
121.12839902676,-11.81314503632,3037687195729160448,0.4668,0.4091,0.8073,0.8527,1.16,-0.891,0.742,0.742,0.643,95,,1.4731,1.053,20.469784,21.053858,19.685694,1.368164,,-31.40722450357,121.12840307313,-11.81314833603,0.818375,0
121.14072530463,-11.79176398384,3037687603748102784,1.11,0.8679,0.6939,1.1434,1.028,-1.023,1.403,0.098,1.25,95,,1.5709,0.951,20.626682,21.221308,19.988747,1.232561,,-31.3835661836,121.1407299493,-11.79176442092,0.724772,0
121.12514715398,-11.79785639973,3037687642405758720,0.587,0.4851,0.8285,0.7965,2.966,-1.733,0.796,-2.407,0.698,95,,1.3701,0.978,20.517447,21.187773,19.761738,1.426035,,-31.39315295957,121.12515502192,-11.79784570364,0.819653,0
121.06978746302,-11.81390822197,3037687951642575488,0.2392,0.3118,0.8335,0.3251,2.204,-1.84,0.296,1.213,0.379,95,,1.4453,1.056,19.071135,,,,,-31.42177704141,121.06979581841,-11.81391361355,0.850156,0
