RAJ2000,DEJ2000,pmRA,pmDE,Gmag,BP-RP,Plx,cluster
122.48087433352,-13.40857764501,-2.286,-0.556,13.472965,0.516452,0.7372,2
122.41420659695,-13.31484742205,-2.311,-0.6,13.363639,0.609845,0.7725,2
122.22209637907,-13.2935550727,-2.344,-0.535,17.370806,1.408167,0.8289,2
122.25077187859,-13.17047676146,-2.347,-0.421,14.92669,0.797351,0.7394,2
122.10341613701,-13.06457430288,-2.301,-0.531,13.934523,0.617864,0.7605,2
123.01880465752,-13.32039332443,-2.596,-0.389,14.799194,0.781589,0.7629,2
122.77515535426,-13.47997681325,-2.35,-0.4,13.190701,0.426936,0.6943,2
122.73625906589,-13.4775290072,-2.527,-0.423,14.18648,0.688398,0.7834,2
122.70472763027,-13.42070047984,-2.235,-0.493,17.297874,1.362175,0.6883,2
122.78369405069,-13.41520728195,-2.275,-0.424,16.854256,1.251078,0.7713,2
122.73185935349,-13.39905771223,-2.419,-0.569,16.782969,1.204283,0.808,2
122.63029324388,-13.43865556241,-2.473,-0.739,14.372489,0.774223,0.796,2
122.56111707925,-13.42478570522,-2.225,-0.461,16.478354,1.077608,0.7642,2
122.59084209759,-13.39034538435,-2.211,-0.524,11.930988,0.201677,0.7817,2
122.61368378958,-13.35444466122,-2.496,-0.405,17.577665,1.474958,0.6572,2
122.69650571046,-13.34451835754,-2.299,-0.542,17.24651,1.338146,0.8072,2
122.67192269856,-13.27746224382,-2.297,-0.43,17.6765,1.508163,0.8045,2
123.00669649039,-13.2642401985,-2.304,-0.378,16.076015,1.00896,0.7351,2
122.94669949217,-13.2514501823,-2.48,-0.534,15.271345,0.845888,0.7315,2
122.91709610473,-13.22799135459,-2.376,-0.596,13.189535,0.481135,0.7312,2
122.90170545274,-13.22710082945,-2.306,-0.506,13.198768,0.437898,0.7422,2
122.79419853556,-13.264224329,-2.234,-0.477,17.76587,1.520018,0.7009,2
122.79595693724,-13.24877797814,-2.32,-0.38,16.864075,1.235384,0.8108,2
122.7270805543,-13.24509268411,-2.388,-0.755,20.12926,1.715002,0.7746,2
122.87025681658,-13.11534893079,-2.34,-0.475,14.190425,0.660225,0.7442,2
122.54954164363,-13.24221474099,-2.293,-0.495,17.439474,1.439741,0.6904,2
122.61702625917,-13.22078080251,-2.332,-0.51,15.134092,0.817475,0.7561,2
122.42909308255,-13.24614812506,-2.404,-0.61,15.840536,0.952112,0.7954,2
122.42578330447,-13.24158360984,-2.426,-0.64,17.896448,1.618706,0.6523,2
122.43868325009,-13.20372231752,-2.5,-0.57,16.896076,1.248732,0.7567,2
