RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
226.56252217686,-56.32780222823,5880538830781444224,1.1739,-5.756,-5.965,95,,1.4393,1.074,20.22056,,,,,-37.11433993788,226.56256831669,-56.32777571709,1.175188
226.5408154118,-56.31726853485,5880538895205342848,1.2212,-7.561,-3.855,95,,1.2681,1.02,20.414282,21.562517,19.130104,2.432413,,-37.10857430465,226.54087600359,-56.31725140085,1.178051
226.46148394211,-56.3401629619,5880539174378845568,1.1586,-8.144,-5.034,95,,1.3523,1.021,19.798546,21.077251,18.4084,2.668852,,-37.14518101382,226.46154924491,-56.34014058756,1.148181
226.39808466139,-56.33570577911,5880539307516578816,1.2869,-6.523,-7.522,31,1.292,,1.0,18.66801,19.842556,17.50835,2.334206,,-37.1530834409,226.39813696458,-56.33567234592,1.311239
226.44446743844,-56.30292951671,5880539827213942656,1.1082,-6.309,-5.284,95,,1.2832,1.106,18.936375,20.26683,17.767336,2.499495,,-37.11345978349,226.44451798237,-56.30290603031,1.135459
226.49986120915,-56.28555323066,5880539930294491392,1.1275,-6.309,-4.976,95,,1.4025,1.041,20.484121,21.451445,19.451214,2.000231,,-37.08658232114,226.49991172633,-56.28553111561,1.122525
226.48601362671,-56.25964580027,5880539999013530240,1.3248,-6.493,-4.649,95,,1.2593,1.095,20.303038,21.424482,18.701237,2.723246,,-37.06488784647,226.48606558083,-56.25962513676,1.279951
226.94894554974,-56.2989071883,5880548657675042688,1.2709,-7.299,-4.039,95,,1.3149,1.015,20.301525,21.490753,19.159494,2.331259,,-37.01398409538,226.94900401326,-56.29888923679,1.2430949999999998
227.29151471469,-56.20328603066,5880553017058278656,1.2268,-6.955,-4.249,95,,1.3698,1.04,19.986824,21.398617,18.599062,2.799555,,-36.85956473972,227.29157028226,-56.20326714769,1.212646
227.33648515484,-56.1707723273,5880553193167640576,1.2236,-6.473,-6.232,31,1.537,,1.06,13.967035,14.326902,13.421547,0.905355,-21.07,-36.8205197492,227.33653683046,-56.17074463015,1.264165
227.17105299504,-56.25455548051,5880553983435241088,1.3605,-6.446,-4.474,95,,1.2908,1.153,20.55247,22.385824,19.490551,2.895273,,-36.93043744285,227.1711045679,-56.25453559493,1.324254
227.03947243836,-56.28319935857,5880554327032787072,1.3027,-6.993,-3.877,95,,1.5158,0.994,20.437778,21.66767,19.256254,2.411415,,-36.98214327781,227.03952843335,-56.28318212911,1.322382
227.02659446823,-56.28509304353,5880554391441840512,1.2189,-5.497,-3.577,31,1.317,,1.011,18.85858,20.003696,17.891613,2.112083,,-36.98635068754,227.02663848207,-56.28507714772,1.241491
227.03057119899,-56.2801315596,5880554395752261376,1.1477,-7.254,-5.762,95,,1.5324,1.118,20.556435,21.71348,19.14625,2.56723,,-36.98093447915,227.0306292735,-56.28010595283,1.172507
227.10517066378,-56.20300080262,5880555078636879488,1.1449,-6.066,-5.452,95,,1.3274,0.982,19.230587,20.561922,18.236923,2.324999,,-36.89431824945,227.10521912878,-56.20297657297,1.157101
227.08888656412,-56.19834485372,5880555289102329600,1.1926,-8.456,-4.791,95,,1.3418,1.014,20.02922,21.34962,18.798952,2.550669,,-36.89300449741,227.08895411779,-56.19832355953,1.171874
227.07583838519,-56.1816401004,5880555357832300160,1.1623,-6.862,-6.368,95,,1.6931,1.08,20.615982,21.518698,19.561905,1.956793,,-36.87974562124,227.07589318529,-56.18161179873,1.223802
227.20940564958,-56.22883466171,5880555495262372352,1.3403,-8.488,-5.746,95,,1.2902,1.06,20.187069,21.393803,19.100082,2.29372,,-36.89902573988,227.20947351193,-56.22880912301,1.306155
227.29949273964,-56.18686137218,5880556006355705600,1.3388,-7.849,-5.023,95,,1.2562,1.071,19.77689,21.20069,18.608875,2.591814,,-36.84260520533,227.29955542593,-56.18683904851,1.312712
227.2938717161,-56.14427180425,5880556418662182528,1.1429,-9.288,-5.094,95,,1.3657,0.975,17.841288,18.841225,16.90442,1.936804,,-36.80356184225,227.29394581406,-56.1442491645,1.174316
227.27166632928,-56.13990704844,5880556457342791168,1.1014,-6.361,-4.575,31,1.33,,1.023,17.225601,18.298933,16.207342,2.091591,,-36.80362174688,227.2717170689,-56.13988671365,1.13319
227.10022927496,-56.16122835139,5880556869653023104,1.2499,-5.998,-5.396,95,,1.2672,1.034,20.84326,21.66864,19.888157,1.780483,,-36.85594225627,227.1002771443,-56.16120437063,1.202342
227.14906417927,-56.1195481853,5880557041451582592,1.148,-8.831,-5.332,95,,1.5036,1.008,20.694818,20.80713,19.173443,1.633688,,-36.80751678838,227.14913458261,-56.11952448901,1.168002
227.25795166833,-56.10518298528,5880557243306276352,1.3975,-8.281,-5.178,95,,1.262,1.203,20.700697,21.891203,19.411304,2.479899,,-36.77350640713,227.25801766712,-56.10515996989,1.349424
226.63256041898,-56.33596726466,5880559103034188160,1.1522,-6.801,-4.76,95,,1.2685,1.057,20.492693,21.614817,19.419432,2.195385,,-37.10870267443,226.63261494666,-56.33594610775,1.108382
226.75389639027,-56.32141318627,5880559309194018304,1.1565,-7.472,-4.291,95,,1.3418,0.996,20.330713,21.418344,19.303083,2.115261,,-37.07201696487,226.75395627376,-56.32139411356,1.135887
226.70226972769,-56.3059859397,5880559545408135936,1.1562,-8.274,-3.758,95,,1.3607,1.067,20.075745,21.428997,18.747637,2.68136,,-37.06730344446,226.70233601289,-56.30596923639,1.139737
226.72005191406,-56.26432637633,5880559790226547968,1.1969,-7.402,-4.392,95,,1.36,1.015,20.519394,,,,,-37.02477888696,226.72011114926,-56.26430685626,1.181449
226.73008329429,-56.25611660716,5880559790237336064,1.3112,-5.751,-3.903,95,,1.2887,1.096,20.212187,21.48075,18.576468,2.904282,,-37.01515991254,226.73012930684,-56.25609926011,1.276365
226.80801012793,-56.30163310739,5880560168183470464,1.1522,-6.725,-6.138,95,,1.2624,0.955,19.56126,20.788565,18.545458,2.243107,,-37.04317951584,226.80806399842,-56.30160582696,1.1419469999999998
226.92587150739,-56.26533348338,5880560477422727040,1.1193,-8.761,-5.362,95,,1.4684,1.109,20.216368,21.593405,19.234344,2.35906,,-36.9867674816,226.92594162184,-56.26530965442,1.126581
226.77455992132,-56.2441732789,5880561302058735488,1.1454,-6.153,-3.647,95,,1.3819,1.123,20.438116,22.083923,19.21457,2.869354,,-36.99550070834,226.77460913663,-56.24415706866,1.135267
226.8474144785,-56.23844277901,5880561473853724544,1.2097,-5.614,-6.389,95,,1.4539,1.263,18.839724,19.49565,16.932804,2.562845,,-36.97631520042,226.84745937818,-56.23841438398,1.228934
226.8598789819,-56.2230579278,5880561576943081216,1.2154,-9.122,-3.641,31,1.549,,0.873,13.939487,14.281579,13.429384,0.852195,-38.15,-36.95949060422,226.8599519042,-56.22304174506,1.256077
226.90837002584,-56.2064147795,5880561645656020096,1.2252,-8.492,-4.179,95,,1.5724,1.086,20.498253,22.300848,19.397738,2.90311,,-36.93466704097,226.90843788403,-56.20639620747,1.257964
226.82935661766,-56.18219827502,5880561950584643584,1.2184,-9.364,-5.932,95,,1.3426,1.087,19.194773,20.418337,17.63389,2.784447,,-36.92685096986,226.82943139676,-56.18217190966,1.232271
226.83970667894,-56.19225418845,5880561954891756800,1.248,-5.586,-3.788,95,,1.2948,1.043,20.249487,21.549772,19.11603,2.433743,,-36.93434555957,226.83975129716,-56.1922373513,1.214771
