RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
226.5408154118,-56.31726853485,5880538895205342848,1.2212,-7.561,-3.855,95,,1.2681,1.02,20.414282,21.562517,19.130104,2.432413,,-37.10857430465,226.54087600359,-56.31725140085,1.178051
226.48601362671,-56.25964580027,5880539999013530240,1.3248,-6.493,-4.649,95,,1.2593,1.095,20.303038,21.424482,18.701237,2.723246,,-37.06488784647,226.48606558083,-56.25962513676,1.279951
227.29151471469,-56.20328603066,5880553017058278656,1.2268,-6.955,-4.249,95,,1.3698,1.04,19.986824,21.398617,18.599062,2.799555,,-36.85956473972,227.29157028226,-56.20326714769,1.212646
227.33648515484,-56.1707723273,5880553193167640576,1.2236,-6.473,-6.232,31,1.537,,1.06,13.967035,14.326902,13.421547,0.905355,-21.07,-36.8205197492,227.33653683046,-56.17074463015,1.264165
227.17105299504,-56.25455548051,5880553983435241088,1.3605,-6.446,-4.474,95,,1.2908,1.153,20.55247,22.385824,19.490551,2.895273,,-36.93043744285,227.1711045679,-56.25453559493,1.324254
227.03947243836,-56.28319935857,5880554327032787072,1.3027,-6.993,-3.877,95,,1.5158,0.994,20.437778,21.66767,19.256254,2.411415,,-36.98214327781,227.03952843335,-56.28318212911,1.322382
227.03057119899,-56.2801315596,5880554395752261376,1.1477,-7.254,-5.762,95,,1.5324,1.118,20.556435,21.71348,19.14625,2.56723,,-36.98093447915,227.0306292735,-56.28010595283,1.172507
227.08888656412,-56.19834485372,5880555289102329600,1.1926,-8.456,-4.791,95,,1.3418,1.014,20.02922,21.34962,18.798952,2.550669,,-36.89300449741,227.08895411779,-56.19832355953,1.171874
227.29949273964,-56.18686137218,5880556006355705600,1.3388,-7.849,-5.023,95,,1.2562,1.071,19.77689,21.20069,18.608875,2.591814,,-36.84260520533,227.29955542593,-56.18683904851,1.312712
227.10022927496,-56.16122835139,5880556869653023104,1.2499,-5.998,-5.396,95,,1.2672,1.034,20.84326,21.66864,19.888157,1.780483,,-36.85594225627,227.1002771443,-56.16120437063,1.202342
227.14906417927,-56.1195481853,5880557041451582592,1.148,-8.831,-5.332,95,,1.5036,1.008,20.694818,20.80713,19.173443,1.633688,,-36.80751678838,227.14913458261,-56.11952448901,1.168002
226.72005191406,-56.26432637633,5880559790226547968,1.1969,-7.402,-4.392,95,,1.36,1.015,20.519394,,,,,-37.02477888696,226.72011114926,-56.26430685626,1.181449
226.73008329429,-56.25611660716,5880559790237336064,1.3112,-5.751,-3.903,95,,1.2887,1.096,20.212187,21.48075,18.576468,2.904282,,-37.01515991254,226.73012930684,-56.25609926011,1.276365
226.77455992132,-56.2441732789,5880561302058735488,1.1454,-6.153,-3.647,95,,1.3819,1.123,20.438116,22.083923,19.21457,2.869354,,-36.99550070834,226.77460913663,-56.24415706866,1.135267
226.8598789819,-56.2230579278,5880561576943081216,1.2154,-9.122,-3.641,31,1.549,,0.873,13.939487,14.281579,13.429384,0.852195,-38.15,-36.95949060422,226.8599519042,-56.22304174506,1.256077
226.90837002584,-56.2064147795,5880561645656020096,1.2252,-8.492,-4.179,95,,1.5724,1.086,20.498253,22.300848,19.397738,2.90311,,-36.93466704097,226.90843788403,-56.20639620747,1.257964
226.83970667894,-56.19225418845,5880561954891756800,1.248,-5.586,-3.788,95,,1.2948,1.043,20.249487,21.549772,19.11603,2.433743,,-36.93434555957,226.83975129716,-56.1922373513,1.214771
226.84996261542,-56.16049939906,5880561989250142848,1.1869,-5.684,-3.832,95,,1.297,1.057,20.018908,21.684772,18.89219,2.792582,,-36.9025432964,226.85000798379,-56.16048236776,1.155512
226.62260788567,-56.32022196784,5880562053669019136,1.1531,-5.986,-4.197,95,,1.3182,1.027,20.242226,21.989716,19.044298,2.945417,,-37.09579967451,226.62265585826,-56.32020331575,1.126275
226.60219496744,-56.31923552709,5880562126691170048,1.1909,-6.472,-4.464,95,,1.3344,1.138,20.509409,21.492245,19.39326,2.098986,,-37.098750963,226.60224683752,-56.31921568513,1.168277
226.65284355378,-56.30593699089,5880562195409701760,1.2339,-5.494,-3.554,95,,1.2737,1.178,19.28139,20.23591,17.90449,2.331421,,-37.07663636187,226.65288757042,-56.3059211946,1.242891
226.57011026092,-56.20258977579,5880564050836599296,1.1895,-7.636,-4.062,31,1.229,,0.976,20.458576,21.999004,19.404877,2.594128,,-36.99526468157,226.57017126987,-56.20257172388,1.183225
226.73428509115,-56.23911372417,5880564218332861312,1.2307,-6.147,-5.371,95,,1.3318,1.071,20.550024,21.863905,19.423607,2.440298,,-36.99838163235,226.73433425417,-56.23908985482,1.207399
226.71971983602,-56.22183974746,5880564325714505984,1.1899,-5.889,-4.384,95,,1.3533,1.096,20.100563,21.056122,18.671011,2.385111,,-36.98490921194,226.71976691081,-56.22182026349,1.171855
226.73605442606,-56.18203775939,5880564669309747328,1.2591,-6.153,-4.671,95,,1.4353,1.18,20.46979,21.779024,19.502293,2.276731,,-36.94439570578,226.73610356341,-56.18201699847,1.2616090000000002
226.76881989132,-56.13773834069,5880565253427504384,1.2668,-7.277,-4.782,95,,1.3769,1.057,20.452667,21.378994,19.470901,1.908092,,-36.89652966967,226.7688779328,-56.13771708869,1.255556
226.69622163192,-56.15308431559,5880565562663107584,1.2176,-6.136,-4.922,95,,1.5043,1.073,20.272295,21.428585,19.113691,2.314894,,-36.92474640424,226.69627059432,-56.15306244207,1.232869
226.64360340337,-56.17193771018,5880565597024853760,1.2223,-6.821,-5.0,95,,1.5565,1.108,20.354393,21.246262,19.167282,2.078979,,-36.95247229544,226.64365785574,-56.17191548965,1.249555
226.70519806378,-56.10591867841,5880566181138542336,1.2111,-5.86,-4.128,95,,1.251,0.933,20.048084,21.478563,18.983902,2.494661,,-36.87870349978,226.7052447706,-56.10590033388,1.167122
226.71123498641,-56.10030877847,5880566284219672704,1.2579,-7.39,-5.178,95,,1.4886,1.004,20.43393,21.43195,18.930672,2.501278,,-36.87228179416,226.71129387083,-56.10028576531,1.27167
226.96265333822,-56.19991568569,5880566730904267776,1.3156,-8.436,-4.9,95,,1.2674,1.144,19.328432,20.557468,17.951775,2.605694,,-36.91829534966,226.96272073679,-56.1998939086,1.3214370000000002
226.93019068436,-56.18753233054,5880567555527546624,1.3187,-6.752,-4.881,95,,1.3551,1.102,19.825384,,,,,-36.91278277739,226.93024461427,-56.18751063852,1.307764
226.88261265165,-56.16862682601,5880567796045858688,1.3174,-7.986,-4.949,95,,1.2571,1.098,19.606848,21.050594,18.265776,2.784819,,-36.90400326781,226.88267640551,-56.1686048305,1.3034199999999998
226.90204892837,-56.15262579462,5880567933488879744,1.3204,-5.875,-4.625,95,,1.4694,0.952,20.81301,21.38408,19.984514,1.399567,,-36.88527605074,226.90209580755,-56.15260523911,1.3338
227.08579975877,-56.12255371648,5880568723770541952,1.1732,-5.672,-4.348,95,,1.3569,1.011,18.037077,19.044216,17.0119,2.032316,,-36.82226930195,227.08584498111,-56.12253439204,1.203768
227.13638264483,-56.11668073587,5880568792488603392,1.1876,-8.346,-7.39,31,1.569,,0.866,12.018602,12.316751,11.555882,0.760868,-19.99,-36.8072070276,227.13644917585,-56.11664789163,1.219219
227.1026530214,-56.08633041458,5880569067359971840,1.1821,-8.917,-4.681,95,,1.634,1.199,20.809967,22.121847,20.101294,2.020554,,-36.78500187615,227.10272405425,-56.08630961167,1.233755
227.11845342532,-56.04819225011,5880569548395506816,1.2751,-5.577,-4.704,95,,1.2702,1.075,20.372894,21.804857,19.365091,2.439766,,-36.74612681197,227.11849780951,-56.04817134501,1.233506
227.0258504555,-56.05757127564,5880570132509807488,1.1639,-6.171,-5.046,95,,1.3661,1.149,20.06391,21.060822,17.773987,3.286835,,-36.77244009297,227.02589957161,-56.05754884911,1.1487349999999998
226.91731315595,-56.09866940985,5880571369460321920,1.3508,-5.463,-3.542,95,,1.4063,1.09,19.786163,19.848858,18.334454,1.514404,,-36.83163730731,226.91735668612,-56.09865366874,1.349452
226.79290941551,-56.09653629946,5880571919217645696,1.2761,-8.22,-4.17,95,,1.351,1.009,20.553207,22.450314,19.443739,3.006575,,-36.85321684051,226.79297491091,-56.09651776399,1.258414
226.88222691561,-56.00693808965,5880572709498913152,1.2175,-5.563,-5.401,95,,1.385,1.092,19.70256,20.836718,18.71624,2.120478,,-36.75200051384,226.88227113625,-56.00691408317,1.215544
226.9584700746,-55.96786323277,5880574290039191168,1.3227,-6.263,-4.081,95,,1.3778,1.092,20.461086,21.906054,19.366632,2.539421,,-36.70078232937,226.95851981481,-55.96784509545,1.311834
226.88436761919,-55.97631222624,5880574427477397120,1.1987,-5.695,-3.991,95,,1.3132,1.068,19.819532,21.21144,18.405336,2.806103,,-36.72278474964,226.8844128549,-55.97629448699,1.1806850000000002
226.95572161291,-55.91856804486,5880574977241683840,1.0897,-8.914,-5.621,31,1.551,,1.151,13.823125,14.155239,13.310682,0.844557,-20.28,-36.65491874797,226.95579231411,-55.91854306317,1.1303839999999998
226.96478184004,-55.90010366339,5880575114680639488,1.1518,-7.28,-5.884,31,1.395,,1.017,16.938236,17.682375,16.05289,1.629484,,-36.63582517105,226.96483954979,-55.90007751396,1.181979
225.44176634645,-56.31979670883,5881207952324630784,1.3516,-6.764,-4.781,95,,1.3285,0.9,20.481472,,,,,-37.32245859323,225.44182055248,-56.31977545996,1.3270799999999998
225.38431387819,-56.31591031195,5881254819022929536,1.3112,-5.711,-4.581,95,,1.4041,1.06,19.777046,20.95267,18.5081,2.444569,,-37.33000824101,225.38435964488,-56.31588995113,1.309674
225.38647874765,-56.27463214295,5881255162621660928,1.1713,-5.867,-4.552,95,,1.3754,1.053,19.902962,21.304346,18.674911,2.629435,,-37.29093830818,225.38652571577,-56.27461191302,1.161037
225.28033363727,-56.25119607016,5881256193413840896,1.2854,-7.287,-4.001,95,,1.2526,1.016,20.251266,19.887487,18.495697,1.39179,,-37.28971774358,225.2803919317,-56.25117828967,1.238735
225.33375292351,-56.23504145705,5881256262133414016,1.2011,-7.679,-3.991,95,,1.3905,1.04,20.283745,21.637987,18.577168,3.06082,,-37.26415831927,225.33381432783,-56.23502371958,1.192125
225.38736709233,-56.19423570836,5881256811889389952,1.2566,-6.644,-3.585,95,,1.2882,1.149,20.261475,21.811993,19.255608,2.556385,,-37.21548301858,225.38742016258,-56.19421977328,1.221106
225.12724244381,-56.26055133541,5881257430363435264,1.3472,-7.919,-5.347,95,,1.3766,0.946,20.070244,21.664158,18.924427,2.739731,,-37.32843859751,225.12730581189,-56.26052757194,1.33412
225.10176221787,-56.23988876883,5881258254997268480,1.194,-7.151,-4.316,95,,1.3467,0.995,20.290249,21.184761,18.651657,2.533104,,-37.31410287291,225.10181940804,-56.23986958448,1.174449
225.13893370611,-56.22005576378,5881258598595134592,1.3011,-6.126,-4.719,95,,1.4477,1.098,20.571165,21.730679,19.49622,2.234459,,-37.28825486596,225.13898267808,-56.22003478943,1.307179
225.1526330659,-56.19986014764,5881258804753589760,1.2277,-8.177,-4.642,95,,1.2598,1.113,20.30276,21.318615,18.975922,2.342693,,-37.26666990145,225.15269839461,-56.19983951838,1.182795
225.34820200232,-56.14720307304,5881259904265926912,1.2396,-5.524,-4.95,95,,1.2759,1.123,20.089003,21.108633,19.016943,2.09169,,-37.17908945236,225.34824607638,-56.14718107454,1.201957
225.29080387567,-56.14934005755,5881260041704864000,1.216,-5.978,-4.184,95,,1.3635,1.083,20.29318,21.821974,19.17474,2.647234,,-37.19231558948,225.29085157658,-56.14932146344,1.200719
225.30186842095,-56.11822312044,5881260179157051392,1.1735,-8.676,-4.763,31,1.382,,1.026,17.351908,18.165907,16.468145,1.697761,,-37.16101525775,225.30193758984,-56.11820195235,1.20264
225.17471705943,-56.19730774322,5881260213516649984,1.3275,-6.129,-5.267,95,,1.3085,1.174,19.0957,20.243237,17.725302,2.517935,,-37.25995169602,225.17476602054,-56.19728433259,1.3467589999999998
225.1534929272,-56.13769005771,5881260591460035840,1.2081,-6.799,-4.703,95,,1.3365,1.108,20.453783,21.427822,19.471994,1.955828,,-37.20831822057,225.15354715866,-56.1376691537,1.1859849999999998
224.77045963745,-56.16901618912,5881268803451834368,1.2736,-7.905,-5.595,31,1.561,,0.952,13.483784,13.764433,12.885742,0.878691,-7.06,-37.31306487167,224.77052274201,-56.1689913206,1.314049
225.07753459988,-56.14647377567,5881271105546156928,1.3515,-5.648,-4.632,95,,1.3092,1.056,19.958902,21.420048,18.993015,2.427033,,-37.23145561203,225.07757965694,-56.14645318812,1.325155
224.97460718873,-56.16506875038,5881271346063794688,1.2422,-6.235,-4.611,95,,1.5076,1.099,20.285934,21.597559,19.242079,2.35548,,-37.26909869765,224.97465695755,-56.16504825727,1.258361
224.85007255915,-56.10215358508,5881274885125885568,1.1199,-6.391,-4.737,31,1.462,,1.005,15.027605,15.581938,14.323868,1.25807,,-37.23481546312,224.85012349183,-56.10213252988,1.1602309999999998
224.7668549668,-56.0583498348,5881275950270483840,1.2668,-6.757,-5.187,95,,1.3291,1.051,20.365932,,,,,-37.21031275881,224.76690875199,-56.05832678099,1.242663
224.79872994303,-56.03706024402,5881276087716769664,1.281,-7.601,-3.845,31,1.292,,1.059,18.380735,19.648504,17.152613,2.495892,,-37.18409545443,224.79879041366,-56.03704315432,1.307719
224.86611355307,-56.01538739219,5881276465666688640,1.3358,-7.942,-5.395,95,,1.3188,1.145,20.596216,22.165112,19.518414,2.646698,,-37.1504962547,224.86617669924,-56.01536341428,1.308318
225.07433613267,-55.97444757129,5881277462100082560,1.1406,-7.892,-5.406,95,,1.6174,1.013,20.366848,21.363932,19.000917,2.363014,,-37.07109592959,225.07439881776,-55.97442354526,1.181024
224.97564233629,-55.94623011013,5881278424171373312,1.1555,-7.162,-4.267,95,,1.3394,1.078,19.087297,18.992405,17.801334,1.191071,,-37.06415379083,224.97569918229,-55.94621114745,1.174074
225.98207881083,-56.35345207082,5881286773556808704,1.3034,-6.244,-4.806,95,,1.2403,0.969,20.356894,21.81385,19.217804,2.596046,,-37.24943976082,225.98212890063,-56.35343071221,1.2508689999999998
225.98640449592,-56.2866147331,5881287563869996800,1.2956,-5.649,-5.102,95,,1.3511,1.093,20.778845,,19.119223,,,-37.18592483002,225.98644972814,-56.28659205555,1.278027
226.17011126095,-56.34853379583,5881289110057210624,1.1833,-6.219,-5.379,95,,1.4332,1.139,20.053606,21.480875,18.714935,2.76594,,-37.20871842152,226.17016114168,-56.34850988894,1.181962
226.24976840212,-56.31744056466,5881289449325469568,1.2884,-6.939,-4.884,31,1.369,,0.932,17.16963,18.068056,16.267313,1.800743,,-37.16428220633,226.24982400703,-56.31741885678,1.318431
226.36749901641,-56.26982517377,5881290415689105024,1.2163,-7.039,-4.489,95,,1.3588,1.06,20.517303,,19.047314,,,-37.09706725546,226.3675553541,-56.26980522419,1.200469
226.11461207239,-56.31421335954,5881292202399220352,1.1998,-8.49,-4.767,95,,1.4182,0.994,20.655172,21.343594,19.319178,2.024416,,-37.18716359504,226.11468010862,-56.31419217361,1.199664
226.05328812617,-56.28002600949,5881293233234134912,1.1512,-7.891,-4.137,95,,1.345,1.069,20.117592,21.927141,18.762476,3.164665,,-37.16687412568,226.05335130319,-56.28000762492,1.131148
226.07590737307,-56.2668411329,5881293331979177472,1.2638,-5.761,-4.665,95,,1.2441,0.991,20.571903,22.935242,19.04622,3.889021,,-37.15015587426,226.07595348051,-56.26682039747,1.209467
226.0938615513,-56.19768427094,5881294057860598016,1.2125,-8.564,-4.799,95,,1.4066,1.008,20.404507,21.604837,19.151812,2.453026,,-37.08181742626,226.0939299665,-56.19766294091,1.207994
226.32902211626,-56.14197344044,5881295088652039424,1.2831,-6.046,-3.966,95,,1.277,1.129,19.945518,20.906834,18.465557,2.441277,,-36.98437964526,226.329070348,-56.14195581296,1.250127
