RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,RV,Gmag,BP-RP,Proba,Cluster,_RA_icrs,_DE_icrs
228.11945203304,-54.26726637538,5887531312461625344,1.143,-7.07,-5.544,,16.6764,1.586,0.9,NGC_5822,228.11950415843,-54.2672425036
227.34433079317,-54.34493056976,5887550480850929664,1.1296,-7.322,-5.94,,16.0444,1.3052,1.0,NGC_5822,227.34438487564,-54.34490499355
227.26560430598,-54.51136932858,5887547044876178688,1.1887,-7.041,-5.326,,15.7437,1.3891,0.8,NGC_5822,227.26565652592,-54.51134639684
228.15356450933,-54.27518557897,5887528391883859840,1.1303,-8.053,-5.83,,16.4127,1.4811,0.1,NGC_5822,228.15362388967,-54.27516047651
226.99179569668,-54.22530644385,5887755063075968896,1.1424,-7.264,-5.906,,13.4089,0.7756,0.9,NGC_5822,226.99184919758,-54.22528101437
225.69723743591,-53.94803980556,5887741834581042176,1.1561,-7.678,-5.521,,14.3526,0.9471,1.0,NGC_5822,225.6972936071,-53.94801603269
226.89616141145,-54.25680640454,5887753654326688000,1.3314,-7.908,-6.403,,15.5498,1.2564,0.2,NGC_5822,226.89621969991,-54.25677883778
225.81261977289,-53.96102099566,5887737951930564096,1.146,-7.344,-5.283,,12.3274,0.5907,1.0,NGC_5822,225.81267351435,-53.96099824769
225.85334939032,-53.79633031579,5887749050126612992,1.234,-7.434,-5.639,,12.8462,0.6842,1.0,NGC_5822,225.85340358197,-53.79630603587
226.98119898328,-54.03033574173,5887766053844695040,1.1023,-6.679,-5.188,,16.3727,1.4091,0.3,NGC_5822,226.98124794537,-54.03031340448
225.79155594487,-53.71822932221,5887750390156498944,1.1911,-7.739,-5.573,,16.5167,1.4885,0.8,NGC_5822,225.79161225144,-53.71820532593
226.91829844322,-54.125030199,5887756609212139392,1.3202,-7.437,-5.584,,10.7441,0.5426,1.0,NGC_5822,226.91835308225,-54.12500615576
225.83601659044,-53.71983377253,5887750218357812992,1.2535,-7.462,-5.696,,15.3417,1.1029,1.0,NGC_5822,225.83607088754,-53.71980924781
225.88104982359,-53.9277783016,5887738432967141120,1.2162,-7.581,-5.399,,14.0495,0.8849,1.0,NGC_5822,225.88110525786,-53.92775505508
225.96496333905,-53.6466690905,5887751661466606464,1.1897,-7.162,-5.376,,17.0456,1.5764,0.8,NGC_5822,225.96501535875,-53.6466459459
227.20526572963,-53.97361621962,5887764340206222336,1.1578,-7.522,-5.334,,13.3646,0.8533,1.0,NGC_5822,227.2053207949,-53.97359325262
225.72543863467,-54.07143191655,5887736062145124352,1.1908,-7.743,-5.976,,14.9199,1.1955,0.6,NGC_5822,225.72549544963,-54.07140618632
225.54816516246,-53.99481124822,5887740013514890624,1.1971,-7.419,-5.405,,13.5656,0.8109,1.0,NGC_5822,225.548219499,-53.99478797697
225.81010796453,-53.94657757156,5887739085801947392,1.1477,-6.713,-5.587,-29.085418840870634,10.8058,1.2887,0.3,NGC_5822,225.81015707093,-53.94655351844
226.89809733774,-54.28822656075,5887753070211120512,1.2776,-7.34,-5.624,,13.7705,0.8559,1.0,NGC_5822,226.89815148235,-54.28820234578
226.80742823517,-54.08505129304,5887760526274620416,1.1544,-7.29,-5.321,,15.5455,1.1683,1.0,NGC_5822,226.8074817474,-54.08502838208
227.04423989078,-54.10685305928,5887756089528342144,1.2059,-7.764,-5.425,,16.7484,1.5792,1.0,NGC_5822,227.04429691001,-54.10682970102
225.73476364501,-54.04742734305,5887736096495406976,1.1228,-8.103,-5.365,,17.2697,,0.7,NGC_5822,225.73482306805,-54.04740424193
226.82483179873,-54.1132596502,5887759697300865024,1.1725,-7.244,-5.456,,17.9134,1.9537,0.7,NGC_5822,226.82488500646,-54.11323616005
226.90494894327,-54.03324745134,5887760457555176064,1.1733,-7.24,-5.154,,13.7435,0.8024,0.8,NGC_5822,226.90500202215,-54.03322526098
227.18079639507,-54.07414268852,5887762312981296256,1.1595,-7.321,-5.497,,16.4375,1.4242,1.0,NGC_5822,227.1808501166,-54.07411901881
225.98039173181,-53.84607779478,5887744995677450112,1.2086,-7.473,-5.449,,14.5283,0.9738,1.0,NGC_5822,225.98044627094,-53.84605433294
226.90749489106,-54.05851618901,5887760285756456960,1.1189,-7.378,-5.48,,12.2942,0.5599,1.0,NGC_5822,226.90754901462,-54.058492593
227.10851317316,-53.97172224057,5887765199199464448,1.1974,-7.219,-5.615,-25.224407181163226,12.1718,0.5516,1.0,NGC_5822,227.10856601948,-53.97169806394
226.78577383165,-54.17402097056,5887757846214893824,1.259,-7.192,-5.106,,12.226,0.5668,0.4,NGC_5822,226.78582673639,-54.17399898609
227.08200612524,-54.05485048036,5887762897097240064,1.2048,-7.547,-5.316,,15.0471,1.22,1.0,NGC_5822,227.0820614788,-54.05482759347
226.98241887593,-54.00919578689,5887766229991602176,1.2132,-8.345,-5.408,,17.6683,2.0222,0.2,NGC_5822,226.98248001592,-54.0091725004
226.03605417947,-53.8358669776,5887746301347736704,1.1525,-7.68,-5.466,-28.975591978825722,10.4589,1.3246,1.0,NGC_5822,226.03611021504,-53.83584344487
227.00745119108,-54.09136874676,5887756918502015488,1.0776,-8.192,-4.989,,16.4002,1.4246,0.4,NGC_5822,227.00751133271,-54.09134726467
225.87241947705,-53.89484528686,5887745133116352000,1.2278,-7.809,-5.386,,15.2144,1.1134,1.0,NGC_5822,225.87247653155,-53.89482209735
225.88302859496,-53.88903832355,5887745167476094720,1.1417,-7.883,-5.082,,16.8044,1.8492,0.7,NGC_5822,225.88308618559,-53.88901644328
225.85208682265,-53.88587078967,5887745201835832192,1.2974,-7.559,-5.377,,17.0193,1.7008,0.9,NGC_5822,225.85214203987,-53.88584763902
225.89031365375,-53.69133996687,5887751764546075264,1.0385,-6.649,-5.811,,17.7186,2.0565,0.4,NGC_5822,225.89036199749,-53.69131494581
225.96033213641,-53.80148964653,5887745923390435712,1.0644,-6.511,-5.461,,16.4993,1.4786,0.3,NGC_5822,225.9603796059,-53.80146613601
225.93615609508,-53.87154920479,5887744549000822016,1.1803,-7.302,-5.53,,13.026,0.7433,1.0,NGC_5822,225.93620941921,-53.87152539673
225.69267064708,-53.90716714528,5887742139477525504,1.1366,-7.877,-5.21,,16.2222,1.3566,0.8,NGC_5822,225.69272821552,-53.90714471269
225.80292429397,-53.95429521363,5887738707835903616,1.1669,-7.313,-5.507,,16.5134,1.4699,1.0,NGC_5822,225.8029778055,-53.95427150434
225.99565624442,-53.86289335328,5887744789519005312,1.2653,-7.541,-5.572,,13.118,0.7518,1.0,NGC_5822,225.99571130455,-53.86286936418
226.09328284094,-53.83362828918,5887734614686290688,1.0992,-7.187,-5.939,,17.2761,1.6869,0.8,NGC_5822,226.09333527404,-53.83360271755
226.74215689452,-54.1743973018,5887757708775955072,1.298,-6.802,-5.334,,17.6314,2.3603,0.4,NGC_5822,226.74220692846,-54.17437433629
225.71192372771,-53.82483862264,5887743616947539072,1.1139,-7.557,-5.39,,12.3925,0.617,0.9,NGC_5822,225.71197885382,-53.82481541365
225.26032092521,-54.9079990664,5881627828385401344,1.1859,-7.449,-5.299,,14.9162,1.0588,1.0,NGC_5822,225.26037671554,-54.90797625044
224.4160874192,-55.12246406854,5881650982494985600,1.1129,-7.781,-5.579,,17.9419,1.9548,0.4,NGC_5822,224.4161460097,-55.12244004675
225.36898626651,-54.83347598128,5881628515580244992,1.1163,-7.985,-5.748,,16.5804,1.5684,0.3,NGC_5822,225.36904595896,-54.8334512308
224.56354888105,-55.1020169068,5881645351852923776,1.0829,-7.902,-5.191,,14.8323,1.1901,0.6,NGC_5822,224.56360834924,-55.10199455461
224.25160737352,-54.97619938704,5881656858004992640,1.0937,-7.387,-6.222,,17.7606,2.2181,0.1,NGC_5822,224.25166278876,-54.97617259854
225.37269620684,-54.89747265071,5881628034543812352,1.1546,-7.356,-5.452,-28.674543733414115,10.3029,1.2675,1.0,NGC_5822,225.37275128685,-54.897449176
224.77954472715,-55.06789226843,5881646348285617664,1.1604,-7.853,-5.629,,14.9352,1.0532,0.7,NGC_5822,224.77960377619,-55.06786803285
224.5470586444,-55.2233116222,5881638170667305728,1.1843,-7.934,-5.538,,15.9249,1.2869,0.7,NGC_5822,224.54711853749,-55.22328777836
225.3146573765,-54.87900177815,5881628275062031360,1.0661,-8.213,-5.158,,16.452,1.4428,0.1,NGC_5822,225.31471884129,-54.878979568
224.70999086582,-55.22073270367,5881640678928441728,1.1458,-7.62,-5.831,,14.6833,0.9946,0.8,NGC_5822,224.71004838365,-55.22070759681
225.14352402153,-53.35843697305,5899824196051246976,1.2599,-7.632,-5.812,,16.7296,1.4175,0.4,NGC_5822,225.14357908205,-53.35841194744
225.00133354208,-53.53696460518,5899821172378322560,1.0416,-6.688,-5.86,,17.7467,1.5397,0.2,NGC_5822,225.0013819944,-53.53693937504
224.44092448089,-53.71729044299,5899792138413599360,1.2979,-7.302,-5.301,,16.0987,1.3606,0.7,NGC_5822,224.44097760927,-53.71726761846
224.54232037157,-53.66760794702,5899793375364229120,1.0603,-6.522,-5.091,,15.728,1.2536,0.1,NGC_5822,224.54236776744,-53.66758602611
224.746222304,-53.61017452425,5899796708259124352,1.2962,-7.658,-5.648,,14.183,0.9618,0.9,NGC_5822,224.74627787739,-53.61015020655
227.12867869725,-54.17879534179,5887567802506300544,1.2163,-7.15,-5.548,,15.6241,1.1745,1.0,NGC_5822,227.12873129987,-54.17877145526
227.27801092241,-54.27455776102,5887569206904623616,1.2323,-7.103,-5.685,,12.1166,0.5389,1.0,NGC_5822,227.27806330011,-54.27453328437
227.46889151695,-54.12136001733,5887571994394746624,1.1653,-7.204,-5.885,,16.5781,1.4744,1.0,NGC_5822,227.46894444399,-54.12133467954
227.29343545735,-54.02518868825,5887576632959609344,1.201,-7.291,-5.403,,15.7393,1.2131,0.9,NGC_5822,227.29348889475,-54.02516542584
227.43977612255,-54.16877517674,5887570791803840384,1.1525,-6.952,-5.233,-22.32816504844849,12.874,0.6887,0.7,NGC_5822,227.43982725149,-54.16875264361
227.63347500631,-54.30420956957,5887554333488288512,1.1306,-6.956,-5.911,,14.5097,0.939,0.9,NGC_5822,227.63352633625,-54.30418411933
226.98145972586,-54.41227065268,5887563782416673408,1.1708,-7.398,-5.523,,15.1015,1.0669,1.0,NGC_5822,226.98151446203,-54.41224687364
227.41328045024,-54.25422497337,5887568867658401792,1.2433,-6.806,-5.592,,15.0684,1.0879,0.7,NGC_5822,227.4133306111,-54.25420089854
226.99427569295,-54.32880721013,5887565362964747264,1.1671,-7.001,-5.766,,12.7923,0.7708,0.5,NGC_5822,226.99432738557,-54.32878238622
226.89279198025,-54.33813780546,5887565156806334848,1.175,-7.266,-5.57,-30.14044499936513,10.2343,1.2663,1.0,NGC_5822,226.89284564073,-54.33811382486
227.06448478782,-54.20520459369,5887567832519609344,1.2417,-7.258,-5.891,,17.2553,1.732,0.7,NGC_5822,227.06453821482,-54.20517922814
227.22034354451,-54.40729418359,5887561579046084864,1.1929,-7.409,-5.479,,16.6248,1.4819,0.9,NGC_5822,227.22039835535,-54.40727059227
226.97378129265,-54.384175865,5887564022934878464,1.0665,-7.783,-5.237,,16.1275,1.3274,0.9,NGC_5822,226.97383883878,-54.38415331654
226.9973632326,-54.33259911313,5887565358617786752,1.1996,-6.863,-5.46,,16.3845,1.424,0.7,NGC_5822,226.99741390944,-54.33257560665
227.12136865571,-54.52747171271,5887559311302719872,1.1351,-7.458,-5.619,,14.9299,1.032,1.0,NGC_5822,227.12142399068,-54.52744751803
227.60693203677,-54.19064395222,5887558933342846336,1.176,-6.96,-5.585,,14.5745,0.9865,1.0,NGC_5822,227.60698325332,-54.19061990499
227.16573621164,-54.13803242565,5887574021619391872,1.2051,-7.406,-5.509,-63.1104005374136,12.5258,0.5937,1.0,NGC_5822,227.16579064451,-54.13800870612
227.75190096574,-54.23131661167,5887578419666291456,1.2369,-6.52,-5.358,,12.4124,0.5731,0.6,NGC_5822,227.75194899097,-54.23129354212
227.44864639101,-53.82404866895,5887790350523214464,1.2562,-7.44,-5.536,,14.9127,1.1086,1.0,NGC_5822,227.44870066206,-53.82402483318
226.64464722457,-53.95848299575,5887774064012579712,1.2138,-7.44,-5.791,,16.9231,1.6178,1.0,NGC_5822,226.64470167177,-53.95845806234
226.61127820266,-54.1241100303,5887770490599568896,1.1731,-7.324,-5.38,,15.1339,1.0721,1.0,NGC_5822,226.611332014,-54.1240868667
226.75882104304,-53.81353020399,5887783817830766720,1.0548,-7.595,-4.744,,17.8636,1.5252,0.4,NGC_5822,226.75887642848,-53.81350978037
227.15401754616,-53.86735522431,5887768978770822016,1.1295,-7.9,-5.754,,13.053,0.8443,0.3,NGC_5822,227.15407523018,-53.86733044899
226.80328136138,-53.96262550279,5887773273738520192,1.1241,-7.392,-5.442,,17.2644,1.7531,0.8,NGC_5822,226.80333545591,-53.96260207232
227.21991294829,-53.78742053113,5887792854442042880,1.3292,-7.118,-5.58,,17.6851,1.8557,0.7,NGC_5822,227.2199648221,-53.78739650505
226.9968107384,-53.83505796765,5887769803404597376,1.1538,-7.263,-5.683,,14.3066,0.9272,1.0,NGC_5822,226.99686373086,-53.83503349979
227.02085408587,-53.9496021037,5887766985905919744,1.1882,-6.565,-5.319,,16.1923,1.3175,0.6,NGC_5822,227.02090211339,-53.94957920438
227.03323523576,-53.92072635874,5887767084637413248,1.1319,-7.938,-5.295,,16.6201,1.5084,0.8,NGC_5822,227.03329327269,-53.92070356228
226.66333516644,-53.93538969272,5887774201451571968,1.1456,-7.202,-5.871,,13.153,0.7328,1.0,NGC_5822,226.66338783686,-53.93536441324
226.58744381154,-53.9590743411,5887775575841090560,1.2826,-7.254,-5.966,,16.8514,1.6794,1.0,NGC_5822,226.58749689262,-53.95904865452
226.99568906153,-53.77447584326,5887782241630848640,1.1278,-7.272,-5.713,,13.2373,0.8264,1.0,NGC_5822,226.99574204005,-53.77445124389
227.0694866321,-53.83917776074,5887769940843537792,1.1738,-7.052,-5.591,,13.0433,0.7104,1.0,NGC_5822,227.06953808638,-53.83915368994
