Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx_x,e_Plx,RPlx,PM,pmRA_x,e_pmRA,pmDE_x,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag_x,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag_x,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag_x,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
NGC_5822,5881692149823656320,224.73123909494,-54.56627142519,1.1099,-7.637,-5.249,14.223904,14.590719,13.684692,1.0,Gaia DR3 5881692149823656320,224.73123909494,-54.56627142519,0.0,0.0,132.0,1636148068921376768,5881692149823656320,1168509584,0.0142,0.0138,1.1099,0.0201,55.2585,9.267,-7.637,0.021,-5.249,0.021,-0.2686,0.2616,-0.2713,0.0066,-0.1347,-0.055,0.2527,-0.2472,0.1276,-0.4312,372,0,372,0,-0.7042,376.67,0.0,0.0,95,false,,1.5396,0.0036,0.06,0.103,0.003,0.124,-0.073,42,19,0.035161,47,0.02396,96.62,0,0,0.973,0,387,38493.30939,9.86075,3903.69,14.223904,0.002769,45,19912.7,19.4089,1025.95,14.590719,0.002984,43,26624.5,15.0056,1774.3,13.684692,0.003829,1.209,0,26,0,25,0,0.906027,0.366816,0.539211,-29.26,5.71,2,17,4,12,5.0932,,,802.805,,5500.0,4.5,0.0,0,,,,13.361504,0.103933,13,,NOT_AVAILABLE,0.0,0.0,0.999981,,,,,,,,,,,,,,,,,,,,,,,224.73129764083,-54.56624809604,0.341326,0.333229,-0.4286,0.0
NGC_5822,5881693146252823040,225.02919807407,-54.64227961967,1.2323,-7.615,-5.588,13.173482,13.473589,12.706505,1.0,Gaia DR3 5881693146252823040,225.02919807407,-54.64227961967,0.0,0.0,137.0,1636148068921376768,5881693146252823040,1397359040,0.0099,0.0101,1.2323,0.0144,85.4999,9.445,-7.615,0.013,-5.588,0.015,-0.2582,0.0849,-0.3429,0.0992,-0.0493,0.0943,0.0554,-0.2453,0.24,-0.2888,359,0,357,2,-3.6866,274.47,0.0,0.0,31,false,1.568,,,,,,,,42,20,0.022486,45,0.01669,65.77,0,0,0.863,0,373,101287.05829,24.1161,4199.97,13.173482,0.002767,41,55716.2,24.4173,2281.83,13.473589,0.00283,43,65547.5,36.6379,1789.07,12.706505,0.003828,1.197,0,1,0,0,0,0.767084,0.300107,0.466977,-34.05,6.29,2,12,5,10,8.9214,,,752.228,,6000.0,1.5,-0.5,111,,,,12.523617,0.036542,7,,NOT_AVAILABLE,0.0,0.0,0.999974,6871.9,6860.1,6883.5,4.2084,4.1998,4.2166,-0.4556,-0.4625,-0.449,786.2527,778.7087,794.4257,0.6246,0.6186,0.6302,0.5425,0.5372,0.5475,0.2934,0.2906,0.2962,A,225.02925655848,-54.64225478244,0.219421,0.231904,-0.2935,0.0
NGC_5822,5881693008813852032,225.0930203756,-54.6394856888,1.177,-7.513,-5.336,17.276005,18.127857,16.374056,1.0,Gaia DR3 5881693008813852032,225.0930203756,-54.6394856888,0.0,0.0,141.0,1636148068921376768,5881693008813852032,1027526823,0.0544,0.0569,1.177,0.0841,14.0009,9.215,-7.513,0.075,-5.336,0.077,-0.1888,0.0415,-0.1486,-0.001,-0.1391,0.0474,0.1692,-0.2219,0.2385,-0.1521,337,0,336,1,-0.0364,344.87,0.0,0.0,31,false,1.371,,,,,,,,40,20,0.114833,44,0.01461,42.13,0,0,0.998,0,367,2314.96838,1.76559,1311.16,17.276005,0.002877,41,766.08,5.12253,149.551,18.127857,0.007778,40,2236.33,9.91453,225.561,16.374056,0.00612,1.297,0,17,0,17,0,1.753801,0.851852,0.901949,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999928,4428.3,4413.8,4444.4,4.5631,4.551,4.5795,0.0929,0.0282,0.1545,929.5508,917.1849,945.2966,0.8732,0.8447,0.904,0.6403,0.619,0.6635,0.3402,0.3291,0.3522,PHOENIX,225.09307807002,-54.63946197396,1.215334,1.216434,-0.1546,0.0
NGC_5822,5881621849790430720,225.25686129716,-54.94467345764,1.2361,-7.625,-4.914,10.945331,11.127864,10.621691,1.0,Gaia DR3 5881621849790430720,225.25686129716,-54.94467345764,0.0,0.0,139.0,1636148068921376768,5881621849790430720,249562576,0.0101,0.0104,1.2361,0.0151,81.9728,9.071,-7.625,0.014,-4.914,0.015,-0.2031,0.1481,-0.1356,0.0397,-0.0325,-0.0123,0.1669,-0.1353,0.2677,-0.2803,400,400,395,5,-4.6374,814.89,0.085,8.7113,31,false,1.626,,,,,,,,45,19,0.023216,50,0.01743,98.46,0,0,0.838,0,408,788523.55802,148.654,5304.41,10.945331,0.002763,46,483361.0,204.063,2368.68,11.127864,0.002828,47,447179.0,137.15,3260.52,10.621691,0.003794,1.18,0,0,0,0,0,0.506173,0.182533,0.32364,-30.29,3.13,1,12,2,9,48.488,-0.83068,0.751692,723.59,28.03,7500.0,4.0,0.25,555,175.6774,16.2746,9,10.480701,0.006991,9,,NOT_AVAILABLE,0.0,0.0,0.999947,,,,,,,,,,,,,,,,,,,,,,,225.25692029908,-54.94465161595,0.230675,0.238101,-0.2818,0.0
NGC_5822,5881581129144018944,224.93985582108,-55.47026452977,1.1691,-7.361,-6.179,17.63388,18.448076,16.705523,0.17,Gaia DR3 5881581129144018944,224.93985582108,-55.47026452977,0.0,0.0,148.0,1636148068921376768,5881581129144018944,391826131,0.0685,0.0807,1.1691,0.109,10.7277,9.611,-7.361,0.09,-6.179,0.116,-0.3269,-0.0512,-0.0729,-0.1071,-0.0783,-0.1233,0.368,0.0819,-0.2178,-0.3383,337,0,336,1,1.2528,380.51,0.089,0.13597,31,false,1.382,,,,,,,,38,18,0.174573,41,0.01312,117.1,0,0,1.048,0,352,1664.92416,1.8268,911.39,17.63388,0.003002,36,570.409,6.8623,83.122,18.448076,0.013357,36,1647.97,9.6768,170.301,16.705523,0.007411,1.332,0,36,0,36,0,1.742554,0.814196,0.928358,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.99999,4144.1,4084.3,4209.9,4.8154,4.7694,4.8466,-0.9243,-1.0231,-0.7469,624.8591,582.2113,685.9147,0.6528,0.5605,0.747,0.4767,0.4082,0.547,0.2559,0.2192,0.2934,PHOENIX,224.9399135387,-55.4702370659,1.450671,1.829419,-0.3321,0.0
NGC_5822,5881580996006755712,224.90764632563,-55.49615994927,1.2179,-7.35,-5.396,19.855055,20.65315,18.516323,0.05,Gaia DR3 5881580996006755712,224.90764632563,-55.49615994927,0.001,0.0,159.0,1636148068921376768,5881580996006755712,1474945668,0.4011,0.5336,1.2179,0.7215,1.6881,9.118,-7.35,0.548,-5.396,0.862,-0.2619,0.2244,-0.1369,-0.1505,-0.4042,-0.0838,0.6581,-0.0132,-0.5165,-0.216,274,0,273,1,3.2187,392.47,2.163,3.29,95,false,,1.1645,0.1127,0.017,0.188,-0.147,-0.094,0.205,31,16,1.293542,33,0.01279,40.72,8,0,1.141,0,270,215.24091,1.05631,203.766,19.855055,0.005999,15,74.844,8.13082,9.20497,20.65315,0.117984,15,310.906,14.4099,21.5758,18.516323,0.050464,1.792,0,0,0,0,0,2.136827,0.798096,1.338732,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999988,,,,,,,,,,,,,,,,,,,,,,,224.90770399205,-55.49613596619,8.830935,13.441486,-0.2101,0.0
NGC_5822,5881580686832040576,224.8688911692,-55.50551267995,1.1767,-7.114,-5.974,18.934217,19.530582,17.676058,0.05,Gaia DR3 5881580686832040576,224.8688911692,-55.50551267995,0.0,0.0,158.0,1636148068921376768,5881580686832040576,1762940218,0.3303,0.454,1.1767,0.5987,1.9655,9.29,-7.114,0.455,-5.974,0.644,-0.3057,0.1701,-0.099,-0.1312,-0.395,-0.1244,0.5135,-0.0139,-0.3136,-0.3249,320,0,319,1,22.3251,1390.8,3.461,40.566,95,false,,1.2594,0.0872,0.065,0.212,-0.242,-0.048,0.223,36,18,0.972405,40,0.1182,143.4,56,0,2.013,0,324,502.643,3.6803,136.577,18.934217,0.008414,34,210.467,6.40218,32.8743,19.530582,0.033145,36,674.117,6.4423,104.639,17.676058,0.011043,1.76,0,0,0,0,0,1.854525,0.596365,1.25816,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,4218.9,3802.0,4397.9,4.9227,4.8073,5.0085,-1.5609,-1.7387,-0.4332,754.4277,566.3683,865.187,1.1598,0.3391,1.4062,0.8412,0.239,1.0312,0.4566,0.1325,0.5617,PHOENIX,224.86894699897,-55.50548612697,7.312323,10.077572,-0.3193,0.0
NGC_5822,5881580686766375040,224.87563409023,-55.49767480101,0.8967,-7.807,-4.586,19.127192,20.343473,18.073154,0.06,Gaia DR3 5881580686766375040,224.87563409023,-55.49767480101,0.0,0.0,160.0,1636148068921376768,5881580686766375040,295524677,0.1922,0.2566,0.8967,0.3448,2.6004,9.054,-7.807,0.263,-4.586,0.402,-0.2524,0.2254,-0.1001,-0.1313,-0.394,-0.0456,0.6482,-0.0163,-0.4821,-0.1836,310,0,310,0,0.5987,338.31,0.0,0.0,95,false,,1.355,0.0536,-0.026,0.19,-0.227,-0.047,0.224,35,18,0.601809,39,0.02421,62.0,0,0,1.023,0,336,420.79476,1.00829,417.335,19.127192,0.003789,29,99.5469,4.47025,22.2687,20.343473,0.048836,27,467.624,5.89515,79.3235,18.073154,0.0142,1.348,0,0,0,0,0,2.270319,1.216282,1.054037,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,224.87569534563,-55.49765441701,4.224801,6.264966,-0.1799,0.0
NGC_5822,5881692351624567680,225.00778680153,-54.69749108652,0.8578,-7.019,-5.641,19.155716,19.88513,18.1932,0.1,Gaia DR3 5881692351624567680,225.00778680153,-54.69749108652,0.0,0.0,143.0,1636148068921376768,5881692351624567680,67797877,0.1753,0.1795,0.8578,0.2643,3.2454,9.005,-7.019,0.259,-5.641,0.267,-0.0855,0.1537,-0.1378,0.1392,-0.0066,0.1166,0.1934,-0.3045,0.2181,-0.1486,296,0,295,1,-1.1191,272.07,0.0,0.0,95,false,,1.4696,0.0506,0.056,-0.002,0.028,0.057,-0.15,34,18,0.398594,38,0.01765,53.16,0,0,0.953,0,321,409.88336,1.0756,381.074,19.155716,0.003964,34,151.833,5.73268,26.4855,19.88513,0.041088,33,418.677,7.29986,57.354,18.1932,0.019304,1.392,0,0,0,0,0,1.691931,0.729414,0.962517,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,225.00784078339,-54.69746601387,4.171098,4.247578,-0.1597,0.0
NGC_5822,5881663734314222848,224.529052452,-54.90702280555,1.2427,-8.045,-5.691,15.783429,16.332071,15.084052,0.94,Gaia DR3 5881663734314222848,224.529052452,-54.90702280555,0.0,0.0,150.0,1636148068921376768,5881663734314222848,1195593376,0.025,0.0306,1.2427,0.0374,33.1846,9.855,-8.045,0.035,-5.691,0.043,-0.3397,-0.0626,-0.0623,-0.0683,-0.0804,-0.0696,0.3493,-0.0309,0.0171,-0.3576,342,0,340,2,-0.4283,337.0,0.0,0.0,31,false,1.463,,,,,,,,41,21,0.064925,45,0.009602,97.1,0,0,0.983,0,368,9153.24497,3.83855,2384.56,15.783429,0.002793,43,4004.87,13.7875,290.471,16.332071,0.004664,38,7337.32,12.9937,564.684,15.084052,0.00424,1.239,0,0,0,1,0,1.248019,0.548642,0.699377,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999978,5006.4,4982.9,5032.7,4.5185,4.4213,4.5412,-0.1605,-0.1887,-0.1342,828.0776,798.8392,990.2051,0.4792,0.46,0.5015,0.3785,0.363,0.3965,0.2014,0.1932,0.211,MARCS,224.52911464955,-54.90699751345,0.564024,0.67488,-0.3561,0.0
