RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
226.56252217686,-56.32780222823,5880538830781444224,1.1739,-5.756,-5.965,95,,1.4393,1.074,20.22056,,,,,-37.11433993788,226.56256831669,-56.32777571709,1.175188,1
226.39808466139,-56.33570577911,5880539307516578816,1.2869,-6.523,-7.522,31,1.292,,1.0,18.66801,19.842556,17.50835,2.334206,,-37.1530834409,226.39813696458,-56.33567234592,1.311239,1
227.33648515484,-56.1707723273,5880553193167640576,1.2236,-6.473,-6.232,31,1.537,,1.06,13.967035,14.326902,13.421547,0.905355,-21.07,-36.8205197492,227.33653683046,-56.17074463015,1.264165,1
227.07583838519,-56.1816401004,5880555357832300160,1.1623,-6.862,-6.368,95,,1.6931,1.08,20.615982,21.518698,19.561905,1.956793,,-36.87974562124,227.07589318529,-56.18161179873,1.223802,1
227.20940564958,-56.22883466171,5880555495262372352,1.3403,-8.488,-5.746,95,,1.2902,1.06,20.187069,21.393803,19.100082,2.29372,,-36.89902573988,227.20947351193,-56.22880912301,1.306155,1
227.14906417927,-56.1195481853,5880557041451582592,1.148,-8.831,-5.332,95,,1.5036,1.008,20.694818,20.80713,19.173443,1.633688,,-36.80751678838,227.14913458261,-56.11952448901,1.168002,1
227.25795166833,-56.10518298528,5880557243306276352,1.3975,-8.281,-5.178,95,,1.262,1.203,20.700697,21.891203,19.411304,2.479899,,-36.77350640713,227.25801766712,-56.10515996989,1.349424,1
226.80801012793,-56.30163310739,5880560168183470464,1.1522,-6.725,-6.138,95,,1.2624,0.955,19.56126,20.788565,18.545458,2.243107,,-37.04317951584,226.80806399842,-56.30160582696,1.1419469999999998,1
226.8474144785,-56.23844277901,5880561473853724544,1.2097,-5.614,-6.389,95,,1.4539,1.263,18.839724,19.49565,16.932804,2.562845,,-36.97631520042,226.84745937818,-56.23841438398,1.228934,1
226.8598789819,-56.2230579278,5880561576943081216,1.2154,-9.122,-3.641,31,1.549,,0.873,13.939487,14.281579,13.429384,0.852195,-38.15,-36.95949060422,226.8599519042,-56.22304174506,1.256077,1
226.82935661766,-56.18219827502,5880561950584643584,1.2184,-9.364,-5.932,95,,1.3426,1.087,19.194773,20.418337,17.63389,2.784447,,-36.92685096986,226.82943139676,-56.18217190966,1.232271,1
226.76752585314,-56.20697441818,5880564394431694592,1.2555,-8.672,-6.504,95,,1.2892,1.047,20.23878,,,,,-36.96186558301,226.76759514846,-56.2069455118,1.220685,1
226.72518479443,-56.16742866116,5880564733729131520,1.1923,-6.942,-6.084,95,,1.2948,1.147,20.01625,21.276743,18.74575,2.530992,,-36.9327268466,226.72524021311,-56.16740162223,1.160354,1
226.76151904202,-56.17489522718,5880565047270115456,1.3343,-6.595,-5.589,95,,1.4318,1.123,20.772263,21.762856,19.50659,2.256266,,-36.9328479811,226.76157169445,-56.17487038806,1.338425,1
226.79218143842,-56.14669746892,5880565184705934976,1.3515,-5.84,-6.675,95,,1.2427,1.158,19.714632,21.001709,18.329128,2.672581,,-36.90051967564,226.79222803455,-56.14666780375,1.327518,1
226.68350343958,-56.15035430886,5880565562665133184,1.1839,-6.051,-6.846,95,,1.5215,1.116,20.748047,21.692812,19.544037,2.148775,,-36.92459818291,226.68355172276,-56.15032388361,1.208669,1
226.74348603035,-56.14244959795,5880565906270242688,1.1288,-6.121,-7.111,95,,1.426,1.114,20.527628,,,,,-36.90576917513,226.7435348569,-56.14241799202,1.129672,1
